V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114438,GBIF_18639,Stenorrhynchos vaginatum,8.5656,-71.0872,2447312524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Kunth) Spreng.,"Teleférido de Mérida, Estación La Aguada",NA,VE,NA,12,2002,PRESERVED_SPECIMEN,NY,NY,4157370,2980,A. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197489,Stenorrhynchos vaginatum,Stenorrhynchos,vaginatum,(Kunth) Spreng.,Species,Accepted,NA,659413-1,197489,0,15,"c(-71.0872, 8.5656)",TRUE
114674,GBIF_18879,Stenorrhynchos speciosum,19.993426,-75.653537,1930769143,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich.,"Firmeza to Gran Piedra, Oriente.",NA,CU,NA,3,1911,PRESERVED_SPECIMEN,NY,NY,59024,8973,J. A. Shafer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,0,13,"c(-75.653537, 19.993426)",TRUE
114939,GBIF_19153,Stenorrhynchos speciosum,18.15,-71.63,1930156259,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich.,"Sierra de Baoruco: 46 Km. al Norte del Puerto de Cabo Rojo (de Alcoa Exploration Company) en el camino minero a Las Mercedes, Aceitillar, Conate, y Las Abejas (minas).",NA,DO,NA,2,1982,PRESERVED_SPECIMEN,NY,NY,59025,19120,T. A. Zanoni,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,0,13,"c(-71.63, 18.15)",TRUE
128545,GBIF_53200,Stenorrhynchos speciosum,5.010278,-73.910606,4135867619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich.,Vereda El Porvenir. Hacienda Casablanca,NA,CO,2639,7,2022,PRESERVED_SPECIMEN,Cenit Transporte y Logística de Hidrocarburos S.A.S. (CENIT),Herbario Federico Medem Bogotá del Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (FMB),En proceso de catalogación,SAM_3826,Sandra Urbano;Aura Robles;Sebastián Zapata;Jhon Bernal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,0,13,"c(-73.910606, 5.010278)",TRUE
129554,GBIF_54229,Stenorrhynchos glicensteinii,13.25,-85.7,1258397520,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,Christenson,"Macizos de Peñas Blancas, top and N slope of steep ridge SW of finca of Manuel Estrada (El Cielo), S of Río Gusaneras; cloud forest on steep slope, relatively dry in aspect due to rain-shadow effect of higher peaks immediately to the east",NA,NI,1265,1,1979,PRESERVED_SPECIMEN,MO,Tropicos,1191677,11517,W. D. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,338990,Stenorrhynchos glicensteinii,Stenorrhynchos,glicensteinii,Christenson,Species,Accepted,NA,77065849-1,338990,0,11,"c(-85.7, 13.25)",TRUE
129893,GBIF_54578,Stenorrhynchos speciosum,-5.68138,-79.26694,1258781729,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,Kunth & C.D. Bouché,Sallique. Localidad Lanchal a Tambillo. Bosque secundario con relictos de bosque primario.,NA,PE,2547.5,7,1998,PRESERVED_SPECIMEN,MO,Tropicos,1552487,5177,José Campos de la Cruz;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,15,2,"c(-79.26694, -5.68138)",TRUE
129987,GBIF_54677,Stenorrhynchos speciosum,-2.36138,-78.04,1259086344,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich. ex Spreng.,Cordillera de Cutucu. Centro Shuar Angel Roubi. Pie de la Cordillera. Bosque húmedo.,NA,EC,1100,3,2002,PRESERVED_SPECIMEN,MO,Tropicos,1832783,1351,Fernando Nicolalde-Morejón;Germán Toasa;I. Vinza;V. Jimbicti,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,11,12,"c(-78.04, -2.36138)",TRUE
130019,GBIF_54709,Stenorrhynchos speciosum,8.733333,-82.233333,1259210977,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich. ex Spreng.,Along road to La Fortuna Dam site. North of Gualaca on the Río Chiriqui. 19.1 mi. beyond the Río Estí.,NA,PA,1300,11,1979,PRESERVED_SPECIMEN,MO,Tropicos,1946705,2858,Thomas M. Antonio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,11,12,"c(-82.233333, 8.733333)",TRUE
137285,GBIF_62789,Stenorrhynchos speciosum,16.2618,-91.6502,1657211455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,(Jacq.) Rich. ex Spreng.,Montebello.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,25688,g--54,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197478,Stenorrhynchos speciosum,Stenorrhynchos,speciosum,(Jacq.) Rich.,Species,Accepted,NA,659300-1,197478,11,12,"c(-91.6502, 16.2618)",TRUE
138409,GBIF_63954,Stenorrhynchos vaginatum,4.15788,-73.6255,1657211447,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenorrhynchos,SPECIES,Kunth,"In pass, Cordillera Oriental, along highway from Bogota to Villavicencio.",NA,CO,NA,11,1943,PRESERVED_SPECIMEN,USF,Herb,25686,17,E. L. Core,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,197489,Stenorrhynchos vaginatum,Stenorrhynchos,vaginatum,(Kunth) Spreng.,Species,Accepted,NA,659413-1,197489,10,5,"c(-73.6255, 4.15788)",TRUE
