V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
130304,GBIF_55001,Stenotyla lendyana,12.875,-85.041667,1258455844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,(Rchb. f.) Dressler,"Along new road from Río Blanco to Río Copalar, ca. 31 km E of Río Blanco.",NA,NI,300,2,1979,PRESERVED_SPECIMEN,MO,Tropicos,1245335,12097,W. D. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,1,12,"c(-85.041667, 12.875)",TRUE
130735,GBIF_55444,Stenotyla picta,8.91111,-82.75,1259335782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,(Rchb. f.) Senghas,Z.P. Las Tablas. Cuenca Térraba-Sierpe. Zona Protectora Las Tablas.,NA,CR,2100,11,1996,PRESERVED_SPECIMEN,MO,Tropicos,2060258,1768,F. J. Quesada;A. Rojas;Evelio Alfaro;Enia Navarro V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339004,Stenotyla picta,Stenotyla,picta,(Rchb.f.) Dressler,Species,Accepted,NA,60440688-2,339004,8,6,"c(-82.75, 8.91111)",TRUE
136678,GBIF_62169,Stenotyla lendyana,15.6659,-92.0039,1576158601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,Rchb. f.,Laguna Ocotal.,NA,MX,950,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,28837,154,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,12,5,"c(-92.0039, 15.6659)",TRUE
161967,GBIF_102192,Stenotyla picta,10.329167,-84.772222,1253901960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,(Rchb. f.) Dressler,"Monteverde, cabeceras del Río Peñas Blancas.",NA,CR,1600,12,2008,PRESERVED_SPECIMEN,INBio,Plantae,4263321,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339004,Stenotyla picta,Stenotyla,picta,(Rchb.f.) Dressler,Species,Accepted,NA,60440688-2,339004,1,12,"c(-84.772222, 10.329167)",TRUE
189909,GBIF_135750,Stenotyla picta,8.85,-82.566667,1258436036,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,(Rchb. f.) Dressler,Trail from Cerro Punta to headwaters of Río Caldera.,NA,PA,2375,1,1939,PRESERVED_SPECIMEN,MO,Tropicos,1226889,1462,Paul H. Allen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339004,Stenotyla picta,Stenotyla,picta,(Rchb.f.) Dressler,Species,Accepted,NA,60440688-2,339004,1,12,"c(-82.566667, 8.85)",TRUE
238977,GBIF_199250,Stenotyla lendyana,16.11,-91.616944,3307830597,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,"Rchb. f., 1886","Al N de Colonia Cuauhtemoc, carretera Monte Bello-Santa Elena",NA,MX,NA,9,1984,PRESERVED_SPECIMEN,IBUNAM,MEXU,641598,without-number,Alush Méndez Ton Alush Shilom Ton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,11,5,"c(-91.616944, 16.11)",TRUE
257558,GBIF_223484,Stenotyla lendyana,15.47083,-90.37083,1258454325,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,Rchb. f.,Vicinity of Cobán,NA,GT,1300,3,1941,PRESERVED_SPECIMEN,F,Tropicos,1243890,92820,Paul C. Standley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,12,5,"c(-90.37083, 15.47083)",TRUE
257561,GBIF_223487,Stenotyla lendyana,15.18222,-90.15333,1258454937,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,Rchb. f.,"Niño Perdido, in Quebrada Seca, 6 km north. In high forest",NA,GT,NA,5,1977,PRESERVED_SPECIMEN,LL,Tropicos,1244491,21033,Cyrus L. Lundell;Elias Contreras,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,12,5,"c(-90.15333, 15.18222)",TRUE
262933,GBIF_230049,Stenotyla lendyana,15.41,-92.61,1258454314,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,Rchb. f.,Mt. Ovando,NA,MX,NA,11,1945,PRESERVED_SPECIMEN,F,Tropicos,1243894,6196,Eizi Matuda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339003,Stenotyla lendyana,Stenotyla,lendyana,(Rchb.f.) Dressler,Species,Accepted,NA,60440463-2,339003,12,5,"c(-92.61, 15.41)",TRUE
262934,GBIF_230050,Stenotyla picta,9.78,-83.78,1258454408,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenotyla,SPECIES,(Rchb. f.) Dressler,"Remnant forest along stream, Tausito",NA,CR,1400,2,1974,PRESERVED_SPECIMEN,F,Tropicos,1243995,3808,Roy W. Lent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,339004,Stenotyla picta,Stenotyla,picta,(Rchb.f.) Dressler,Species,Accepted,NA,60440688-2,339004,1,12,"c(-83.78, 9.78)",TRUE
