V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
234555,GBIF_194088,Steveniella satyrioides,45.02945,35.063067,1697725669,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,UA,NA,6,2005,PRESERVED_SPECIMEN,Moscow State University,MW,MW0606415,7489,Kamenskih,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(35.063067, 45.02945)",TRUE
234594,GBIF_194127,Steveniella satyrioides,43.633333,40.25,1697775762,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,5,1931,PRESERVED_SPECIMEN,Moscow State University,MW,MW0658225,without-number,AV Kozhevnikov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(40.25, 43.633333)",TRUE
234741,GBIF_194281,Steveniella satyrioides,44.011059,39.177246,4869357430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,5,1987,PRESERVED_SPECIMEN,Moscow State University,MW,MW0658227-1,without-number,N. Shvedchikova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(39.177246, 44.011059)",TRUE
235419,GBIF_194989,Steveniella satyrioides,44.893215,34.784131,1843516844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,UA,NA,5,1988,PRESERVED_SPECIMEN,Moscow State University,MW,MW0606417-2,without-number,N. Shvedchikova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(34.784131, 44.893215)",TRUE
235907,GBIF_195528,Steveniella satyrioides,44.46555,33.698,1697725648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,UA,250,5,1962,PRESERVED_SPECIMEN,Moscow State University,MW,MW0606418,without-number,Smirnov P.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(33.698, 44.46555)",TRUE
235945,GBIF_195568,Steveniella satyrioides,44.2,39.083333,1697775732,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,5,1989,PRESERVED_SPECIMEN,Moscow State University,MW,MW0658228,without-number,Shvedchikova N.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(39.083333, 44.2)",TRUE
235946,GBIF_195569,Steveniella satyrioides,44.766667,37.566667,1697775759,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,5,2011,PRESERVED_SPECIMEN,Moscow State University,MW,MW0658231,without-number,AV Popovich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(37.566667, 44.766667)",TRUE
463609,GBIF_535361,Steveniella satyrioides,44.552836,40.444373,4008150611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,5,1947,PRESERVED_SPECIMEN,Moscow State University,MW,MW1012229,without-number,Grudzinskaya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(40.444373, 44.552836)",TRUE
546702,GBIF_670559,Steveniella satyrioides,44.551233,33.956183,1697725677,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,UA,NA,5,1910,PRESERVED_SPECIMEN,Moscow State University,MW,MW0606416,without-number,Van'kov I.V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(33.956183, 44.551233)",TRUE
546738,GBIF_670600,Steveniella satyrioides,43.616667,40.05,1697775699,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Steveniella,SPECIES,NA,NA,NA,RU,NA,4,1973,PRESERVED_SPECIMEN,Moscow State University,MW,MW0658226,without-number,NA Kirillina,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197713,Steveniella satyrioides,Steveniella,satyrioides,(Spreng.) Schltr.,Species,Accepted,NA,659431-1,197713,17,-1,"c(40.05, 43.616667)",TRUE
