V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108022,GBIF_11275,Summerhayesia laurentii,7.25,-3.01667,2517347495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J.Cribb,NA,NA,CI,NA,8,1982,PRESERVED_SPECIMEN,NA,Botany,WAG0139262,"Laan, FM van der 527",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,0,20,"c(-3.01667, 7.25)",TRUE
133282,GBIF_58403,Summerhayesia laurentii,2.81667,11.13333,2517443097,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J.Cribb,"Station du Cacaoyer de N'koemvone, S. of Ebolowa, 14 km on the road to Ambam.",NA,CM,NA,9,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1140797,"Wilde, JJFE de 7512",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,0,20,"c(11.13333, 2.81667)",TRUE
135741,GBIF_61165,Summerhayesia laurentii,-2.25,10.33333,2517466975,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J.Cribb,"Monts Doudou, W. of Doussala and Rés. de Faune de Moukalaba.",NA,GA,NA,12,1984,PRESERVED_SPECIMEN,NA,Botany,WAG.1140791,"Arends, JC; Wilde, JJFE de; Louis, AM 613",Arends JC; Wilde JJFE de; Louis AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,0,20,"c(10.33333, -2.25)",TRUE
158626,GBIF_98248,Summerhayesia laurentii,-2.25,10.33333,2517634487,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J.Cribb,"Monts Doudou, W. of Doussala and Rés. de Faune de Moukalaba.",NA,GA,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,WAG0138781,"Arends, JC 925",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,0,20,"c(10.33333, -2.25)",TRUE
162456,GBIF_102701,Summerhayesia laurentii,0.766667,24.45,1839458419,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,NA,Yangambi; à hauteur du km 8 de la route de Ngazi,NA,CD,NA,8,1937,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000006623487,5739,Louis J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,20,-1,"c(24.45, 0.766667)",TRUE
169844,GBIF_111227,Summerhayesia laurentii,-2.8,10.93333,2515540634,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J.Cribb,c. 7 km W of Tchibanga airport.,NA,GA,NA,2,1983,PRESERVED_SPECIMEN,NA,Botany,WAG0139268,"Wilde (WALK-B), JJFE de; Arends, JC; Louis, AM; Karper, JJ; Bouman, F 731",Wilde (WALK-B) JJFE de; Arends JC; Louis AM; Karper JJ; Bouman F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,0,20,"c(10.93333, -2.8)",TRUE
184097,GBIF_129507,Summerhayesia laurentii,2.816667,11.133333,3339826334,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) Schltr.,"Station du Cacaoyer de N'Koemvone, 14 km on the road from Ebolowa to Ambam.",NA,CM,NA,9,1974,PRESERVED_SPECIMEN,MO,Tropicos,101299493,7512,Jan J.F.E. de Wilde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,8,11,"c(11.133333, 2.816667)",TRUE
189125,GBIF_134928,Summerhayesia laurentii,-2.8,10.933333,4031431521,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,(De Wild.) P.J. Cribb,"C. 7 km W of Tchibanga. Cultivated in greenhouse Wageningen, leg. J.J. de Wilde et al (WALK-B) s.n. 2-1983.",NA,GA,120,7,1984,PRESERVED_SPECIMEN,MO,Tropicos,103203544,806,F.M. van der Laan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,1,15,"c(10.933333, -2.8)",TRUE
211868,GBIF_164977,Summerhayesia laurentii,-5.633333,13.066667,1839458476,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,NA,Luki; Inéac,NA,CD,NA,1,1958,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000006623210,1859,Wagemans J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,20,-1,"c(13.066667, -5.633333)",TRUE
248620,GBIF_212994,Summerhayesia laurentii,-2.8,10.933333,2243243672,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Summerhayesia,SPECIES,NA,"Nyanga, c. 7 km W of Tchibanga",NA,GA,NA,7,1984,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000021818004,806,van der Laan F.M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,198535,Summerhayesia laurentii,Summerhayesia,laurentii,(De Wild.) P.J.Cribb,Species,Accepted,NA,659482-1,198535,20,-1,"c(10.933333, -2.8)",TRUE
