V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5166,ALA_6120,Taeniophyllum muelleri,-21,148.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,6,1993,PRESERVED_SPECIMEN,CANB,CANB,CANB 678517.1,11582,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(148.9, -21)",TRUE
5779,ALA_6861,Taeniophyllum muelleri,-25.3,152.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CANB 670143.2,19509,"Forster, P.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(152.7, -25.3)",TRUE
6056,ALA_7211,Taeniophyllum muelleri,-28.2,153,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,6,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9704750.1,11731,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(153, -28.2)",TRUE
6083,ALA_7243,Taeniophyllum muelleri,-28.2,153.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,7,1986,PRESERVED_SPECIMEN,CANB,CANB,CANB 669190.2,2329,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(153.2, -28.2)",TRUE
6251,ALA_7457,Taeniophyllum lobatum,-21,148.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Dockrill,NA,Australia,AU,NA,6,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9704615.3,11595,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201151,Taeniophyllum lobatum,Taeniophyllum,lobatum,Dockrill,Species,Accepted,NA,659636-1,201151,0,8,"c(148.6, -21)",TRUE
6409,ALA_7654,Taeniophyllum muelleri,-20.466667,164.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NOUMEA: 14 km W of crossing of la Bambou Creek on road to Koumac and Ouegoa.,New Caledonia,NC,NA,8,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9213481.1,251/92,"Wallace, B.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(164.2, -20.466667)",TRUE
7782,ALA_9467,Taeniophyllum muelleri,-25.3,152.8,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,8,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8807138.1,26,"Barton, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(152.8, -25.3)",TRUE
7937,ALA_9657,Taeniophyllum malianum,-13.7,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Schltr.,NA,Australia,AU,NA,7,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 572663.1,18667,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201157,Taeniophyllum malianum,Taeniophyllum,malianum,Schltr.,Species,Accepted,NA,659642-1,201157,0,7,"c(143.3, -13.7)",TRUE
8978,ALA_11063,Taeniophyllum malianum,-12.9,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Schltr.,NA,Australia,AU,NA,9,1976,PRESERVED_SPECIMEN,CANB,CANB,CBG 68345.1,450,"Wrigley, J.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201157,Taeniophyllum malianum,Taeniophyllum,malianum,Schltr.,Species,Accepted,NA,659642-1,201157,0,7,"c(143.3, -12.9)",TRUE
10129,ALA_12663,Taeniophyllum muelleri,-20.35,164.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NOUMEA: gully nearest (c. 1 km E of) pass between E and W at N end of island (where main road crosses island).,New Caledonia,NC,NA,8,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9213480.1,250/92,"Wallace, B.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(164.4, -20.35)",TRUE
10481,ALA_13203,Taeniophyllum muelleri,-17.3,145.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,6,1986,PRESERVED_SPECIMEN,CANB,CANB,CANB 591952.1,4320,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(145.5, -17.3)",TRUE
11248,ALA_14264,Taeniophyllum malianum,-12.9,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Schltr.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 761392.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201157,Taeniophyllum malianum,Taeniophyllum,malianum,Schltr.,Species,Accepted,NA,659642-1,201157,0,7,"c(143.3, -12.9)",TRUE
11569,ALA_14685,Taeniophyllum muelleri,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Lindl. ex Benth.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 9707737.1,ORG69,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201171,Taeniophyllum muelleri,Taeniophyllum,muelleri,Lindl. ex Benth.,Species,Accepted,NA,659656-1,201171,0,16,"c(143.2, -12.7)",TRUE
12396,ALA_15807,Taeniophyllum malianum,-13.9,143.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Taeniophyllum,species,Schltr.,NA,Australia,AU,NA,11,1980,PRESERVED_SPECIMEN,CANB,CANB,CANB 592249.1,1830,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201157,Taeniophyllum malianum,Taeniophyllum,malianum,Schltr.,Species,Accepted,NA,659642-1,201157,0,7,"c(143.4, -13.9)",TRUE
