V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
6290,ALA_7505,Tainia trinervis,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913094.1,4290,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(145.3, -16.5)",TRUE
7023,ALA_8453,Tainia trinervis,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,NA,Australia,AU,NA,10,1993,PRESERVED_SPECIMEN,CANB,CANB,CANB 1001512.1,s.n.,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(145.3, -16.5)",TRUE
20445,ALA_28230,Tainia trinervis,-6.916667,146.583333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,"Patep No 2 Lae-Mumeng Road, Mumeng sub-district, Morobe District",Papua New Guinea,PG,NA,9,1970,PRESERVED_SPECIMEN,CANB,CANB,CANB 223763.2,s.n.,"Streimann, H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(146.583333, -6.916667)",TRUE
70643,ALA_98320,Tainia trinervis,-6.4369440000000004,142.560556,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,"P'nyang Valley, Rentoul Fly Camp 6, Western Province.",Papua New Guinea,PG,NA,8,2014,PRESERVED_SPECIMEN,CNS,CNS,CNS 152331.1,15240,"Venter, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(142.560556, -6.436944)",TRUE
71501,ALA_99612,Tainia trinervis,-16.3,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,NA,Australia,AU,NA,10,2000,PRESERVED_SPECIMEN,CNS,CNS,QRS 121008.1,7841,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(145.3, -16.3)",TRUE
72483,ALA_101277,Tainia trinervis,-16.4,145.4,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,NA,Australia,AU,NA,9,1960,PRESERVED_SPECIMEN,CNS,CNS,QRS 128840.1,s.n.,"Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(145.4, -16.4)",TRUE
73019,ALA_102260,Tainia trinervis,-16.9,145.8,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,NA,Australia,AU,NA,9,1959,PRESERVED_SPECIMEN,CNS,CNS,QRS 128842.1,s.n.,"St Cloud, S.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(145.8, -16.9)",TRUE
75247,ALA_105320,Tainia trinervis,-6.923565,146.592762,dr2287,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,"Patep No. 2, Lae-Mumeng Road.",Papua New Guinea,PG,NA,9,1970,PRESERVED_SPECIMEN,BRI,Herbrecs,BRI AQ0358143,NGF45249,"Streimann, H.;Kairo, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(146.592762, -6.923565)",TRUE
78991,ALA_110431,Tainia trinervis,-7.006898,146.459429,dr2287,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tainia,species,(Blume) Rchb.f.,Patep.,Papua New Guinea,PG,NA,8,1967,PRESERVED_SPECIMEN,BRI,Herbrecs,BRI AQ0074435,NGF34018,"Dockrill, A.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,201350,Tainia trinervis,Tainia,trinervis,(Blume) Rchb.f.,Species,Accepted,NA,659817-1,201350,0,15,"c(146.459429, -7.006898)",TRUE
107724,GBIF_10968,Tainia paucifolia,0.81667,111.48333,2513823852,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tainia,SPECIES,"(Breda, Kuhl & Hasselt) J.J.Sm.",NA,NA,ID,NA,5,1993,PRESERVED_SPECIMEN,NA,Botany,L.1526380,"Jong, W de 338",Jong W de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201328,Tainia paucifolia,Tainia,paucifolia,(Breda) J.J.Sm.,Species,Accepted,NA,659799-1,201328,16,9,"c(111.48333, 0.81667)",TRUE
