V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113681,GBIF_17871,Tamayorkis ehrenbergii,19.554167,-104.158333,1893975930,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,"(Rchb. f.) Kuntze, 1891","Las Capillas, 19 km al SSE de El Chante",NA,MX,1400,10,1980,PRESERVED_SPECIMEN,UW,WIS,NO DISPONIBLE,without-number,Hugh Iltis; Rafael Guzmán Mejía,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,18,6,"c(-104.158333, 19.554167)",TRUE
128209,GBIF_52839,Tamayorkis ehrenbergii,20.191667,-98.741667,1893400798,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,"(Rchb. f.) Kuntze, 1891","Cerro de las Ventanas, Parque Nacional El Chico, Mpio. El Chico",NA,MX,1450,7,1970,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,22525,without-number,M. E. GONZALEZ R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,18,6,"c(-98.741667, 20.191667)",TRUE
130060,GBIF_54751,Tamayorkis ehrenbergii,25.05,-101.3,1259337892,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,(Ridl.) Kuntze,"On south slope of mountain, 24 kilo. northeast of Fraile; burned-off land with Juniper and Arbutus present.",NA,MX,2900,7,1941,PRESERVED_SPECIMEN,MO,Tropicos,2061995,407,L.R. Stanford;K.L. Retherford;R.D. Northcraft,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,23,3,"c(-101.3, 25.05)",TRUE
130063,GBIF_54754,Tamayorkis ehrenbergii,19.4175,-101.39,1259338625,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,(Rchb. f.) Kuntze,"El Tzintzun, municipio de Villa Madero.",NA,MX,2850,8,1988,PRESERVED_SPECIMEN,MO,Tropicos,2062976,5041,H. Díaz-Barriga Vega;Sergio Zamudio R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,19,6,"c(-101.39, 19.4175)",TRUE
130065,GBIF_54756,Tamayorkis ehrenbergii,19.283333,-99.5,1259339826,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,(Rchb. f.) Kuntze,"Toluca, Cerro Huitzila.",NA,MX,2700,8,1932,PRESERVED_SPECIMEN,MO,Tropicos,2064398,33,Juan González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,19,6,"c(-99.5, 19.283333)",TRUE
136505,GBIF_61993,Tamayorkis ehrenbergii,24.8245,-100.076,1584439500,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,VARIETY,(B. L. Rob. & Greenm.) L. O. Williams,"Teotepec; Galeana, Gro. District.",NA,MX,3000,7,1939,PRESERVED_SPECIMEN,USF,Herb,51067,14467,"See comments, H. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,29,1,"c(-100.076, 24.8245)",TRUE
138218,GBIF_63755,Tamayorkis ehrenbergii,18.7021,-99.7876,1503292637,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,VARIETY,(B. L. Rob. & Greenm.) L. O. Williams,Sierra de San Filipe.,NA,MX,NA,8,1894,PRESERVED_SPECIMEN,USF,Herb,50880,5614,C. G. Pringle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,29,1,"c(-99.7876, 18.7021)",TRUE
138309,GBIF_63850,Tamayorkis ehrenbergii,25.7183,-102.193,1584439443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,(Rchb. f.) Kuntze,"Sierra de la Madera, Cañon del Agua.",NA,MX,NA,8,1939,PRESERVED_SPECIMEN,USF,Herb,50881,3211,C. H. Muller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,19,6,"c(-102.193, 25.7183)",TRUE
141929,GBIF_67719,Tamayorkis ehrenbergii,27.4325,-103.554722,1895374358,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,"(Rchb. f.) Kuntze, 1891",Del Carmen Mts.,NA,MX,900,8,1936,PRESERVED_SPECIMEN,CNS-UT,TEX,00213513,without-number,E. G. Marsh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,18,6,"c(-103.554722, 27.4325)",TRUE
141954,GBIF_67744,Tamayorkis ehrenbergii,19.416669,-101.392219,1895374331,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tamayorkis,SPECIES,"(Rchb. f.) Kuntze, 1891",El Tzintzun,NA,MX,1425,8,1988,PRESERVED_SPECIMEN,CNS-UT,TEX,00213516,without-number,H. Díaz B.; S. Zamudio R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,201518,Tamayorkis ehrenbergii,Tamayorkis,ehrenbergii,(Rchb.f.) R.González & Szlach.,Species,Accepted,NA,1000888-1,201518,18,6,"c(-101.392219, 19.416669)",TRUE
