V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
264684,GBIF_232374,Teagueia teaguei,0.3,-78.48,4061434193,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,(Luer) Luer,Protected due to name conservation status,NA,EC,3000,4,1979,PRESERVED_SPECIMEN,NA,Tropicos,655149,4059,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,202012,Teagueia teaguei,Teagueia,teaguei,(Luer) Luer,Species,Accepted,NA,962871-1,202012,0,11,"c(-78.48, 0.3)",TRUE
415634,GBIF_474280,Teagueia teaguei,0.15,-78.3,1261378569,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,(Luer) Luer,Protected due to name conservation status,NA,EC,3400,4,1984,PRESERVED_SPECIMEN,MO,Tropicos,663438,1679,Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,202012,Teagueia teaguei,Teagueia,teaguei,(Luer) Luer,Species,Accepted,NA,962871-1,202012,0,11,"c(-78.3, 0.15)",TRUE
481869,GBIF_563981,Teagueia barbeliana,-1.479444,-78.2975,1258002041,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,L. Jost & Shepard,Cerro Candelaria summit area.,NA,EC,3400,11,2002,PRESERVED_SPECIMEN,QCNE,Tropicos,100659990,5132,Lou Jost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,468230,Teagueia barbeliana,Teagueia,barbeliana,L.Jost & Shepard,Species,Accepted,NA,77112078-1,468230,1,14,"c(-78.2975, -1.479444)",TRUE
515274,GBIF_619623,Teagueia zeus,-1.366944,-78.142778,1258097626,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,(Luer & Hirtz) O. Gruss & M. Wolff,Corredor Ecológico Llanganates-Sangay. Abitagua alta.,NA,EC,2500,8,2014,PRESERVED_SPECIMEN,ECUAMZ,Tropicos,100768183,9018,Lou Jost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,202014,Teagueia zeus,Teagueia,zeus,(Luer & Hirtz) O.Gruss & M.Wolff,Species,Accepted,NA,77081293-1,202014,2,17,"c(-78.142778, -1.366944)",TRUE
567011,GBIF_705268,Teagueia puroana,-1.479444,-78.2975,1258002025,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,L. Jost & Shepard,Cerro Candelaria summit area.,NA,EC,3400,11,2002,PRESERVED_SPECIMEN,QCA,Tropicos,100659988,5149,Lou Jost,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,468232,Teagueia puroana,Teagueia,puroana,L.Jost & Shepard,Species,Accepted,NA,77112079-1,468232,1,14,"c(-78.2975, -1.479444)",TRUE
611776,GBIF_767081,Teagueia zeus,-1.4166,-78.05,1261378354,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,(Luer & Hirtz) O. Gruss & M. Wolff,North of Topo,NA,EC,2400,2,1990,PRESERVED_SPECIMEN,MO,Tropicos,663229,1400,Stig Dalström;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,202014,Teagueia zeus,Teagueia,zeus,(Luer & Hirtz) O.Gruss & M.Wolff,Species,Accepted,NA,77081293-1,202014,2,17,"c(-78.05, -1.4166)",TRUE
621079,GBIF_780981,Teagueia anitana,-1.473033,-78.3009,4067895406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,NA,Río Verde,NA,EC,3506,5,2019,PRESERVED_SPECIMEN,HUTPL,HUTPL,13915,Cand3,K. Huisman;J.P. Suárez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,526998,Teagueia anitana,Teagueia,anitana,L.Jost & Shepard,Species,Accepted,NA,77167264-1,526998,16,-1,"c(-78.3009, -1.473033)",TRUE
621080,GBIF_780982,Teagueia anitana,-1.472783,-78.300967,4067895410,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,NA,Río Verde,NA,EC,3495,5,2019,PRESERVED_SPECIMEN,HUTPL,HUTPL,13917,Cand5,K. Huisman;J.P. Suárez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,526998,Teagueia anitana,Teagueia,anitana,L.Jost & Shepard,Species,Accepted,NA,77167264-1,526998,16,-1,"c(-78.300967, -1.472783)",TRUE
621081,GBIF_780983,Teagueia sancheziae,-1.349583,-78.380867,4067895415,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,NA,Vizcaya,NA,EC,3348,1,2019,PRESERVED_SPECIMEN,HUTPL,HUTPL,13911,Añan9,K. Huisman;J.P. Suárez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,202011,Teagueia sancheziae,Teagueia,sancheziae,Luer & L.Jost,Species,Accepted,NA,322684-2,202011,13,-1,"c(-78.380867, -1.349583)",TRUE
621082,GBIF_780984,Teagueia sancheziae,-1.3496,-78.380883,4067895417,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Teagueia,SPECIES,NA,Vizcaya,NA,EC,3348,1,2019,PRESERVED_SPECIMEN,HUTPL,HUTPL,13912,Añan10,K. Huisman;J.P. Suárez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,202011,Teagueia sancheziae,Teagueia,sancheziae,Luer & L.Jost,Species,Accepted,NA,322684-2,202011,13,-1,"c(-78.380883, -1.3496)",TRUE
