V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
142719,GBIF_68575,Thelyschista ghillanyi,-13.0092667,-41.3706394,1928035490,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,"A 3km ao S de Mucugê, na estrada que vai para Jussiape.",NA,BR,1000,12,1979,PRESERVED_SPECIMEN,NY,NY,625774,13172,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.3706394, -13.0092667)",TRUE
167951,GBIF_109018,Thelyschista ghillanyi,-12.981111,-41.293889,2416540107,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,À beira da trilha para Cachoeira das Três Barras. Parque Nacional da Chapada Diamantina,NA,BR,940,1,2019,PRESERVED_SPECIMEN,UFRN,UFRN,UFRN00025809,642,"Garcia, G.S.;Gonçalves, L.M.G",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.293889, -12.981111)",TRUE
198612,GBIF_146492,Thelyschista ghillanyi,-13,-41.383333,1424039661,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,"By Rio Cumbuca, about 3km N of Mucugê on the Andaraí road.",NA,BR,850,2,1974,PRESERVED_SPECIMEN,JBRJ,RB,RB00257700,15993,R.M. Harley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.383333, -13)",TRUE
219778,GBIF_176871,Thelyschista ghillanyi,-13.3,-41.77,1928066864,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,Barra.,NA,BR,NA,1,1992,PRESERVED_SPECIMEN,NY,NY,687075,50759,R. M. Harley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.77, -13.3)",TRUE
222705,GBIF_180157,Thelyschista ghillanyi,-12.569722,-41.4175,4412369291,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,"Chapada Diamantina, Trilha Lençóis-Capão, próximo a cachoeira Estrela do Céu",NA,BR,400,1,1997,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB00008452,PCD4601,"Saar, E;Guedes, ML,Atkins, S,Passos Júnior, LA,Stannard, B",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.4175, -12.569722)",TRUE
222753,GBIF_180207,Thelyschista ghillanyi,-13.024167,-41.62,4900566429,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,Iníco da trilha do Parque Municipal de Mucugê - Projeto Sempre Viva,NA,BR,NA,1,2018,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB00064968,514,"Carvalho, MLS;Alunos de Métodos de Estudos em Biologia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.62, -13.024167)",TRUE
222899,GBIF_180439,Thelyschista ghillanyi,-13.001389,-41.371944,2996053994,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,"Chapada Diamantina, Parque Municipal, trilha da Sandália Bordada",NA,BR,NA,1,2003,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB008462,s/n,"Roque, N;Alunos de Botânica III",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.371944, -13.001389)",TRUE
238221,GBIF_198407,Thelyschista ghillanyi,-12.466667,-41.433333,912258879,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,"Mucugêzinho, km 220 ap. da rod. BR 242",NA,BR,725,12,1981,PRESERVED_SPECIMEN,K,Herbarium,K000293458,940,"Lewis, G.P.; Carvalho, A.M.; Hage, J.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.433333, -12.466667)",TRUE
241276,GBIF_201944,Thelyschista ghillanyi,-12.97833,-41.34333,2248070889,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,(Pabst) Garay,BA 142 a 5km de Mucugê em direção a Andaraí. Campo Rupestre.,NA,BR,1048,7,2009,PRESERVED_SPECIMEN,JBRJ,RB,RB00573578,2698,C.N. Fraga; M.M. Saavedra; J.E. Meirelles & J. Neri,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,0,13,"c(-41.34333, -12.97833)",TRUE
273599,GBIF_250701,Thelyschista ghillanyi,-12.46667,-41.43333,2515377324,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelyschista,SPECIES,Pabst,"Brazil: Bahia: Mun. de Lençois, Mucugezinho, km. 220 ap. da rod. BR 242.",NA,BR,NA,12,1981,PRESERVED_SPECIMEN,NA,Botany,U.1458910,"Lewis, GP; Carvalho, AMV de; Hage, JL 940",Lewis GP; Carvalho AMV de; Hage JL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,203837,Thelyschista ghillanyi,Thelyschista,ghillanyi,(Pabst) Garay,Species,Accepted,NA,911549-1,203837,8,5,"c(-41.43333, -12.46667)",TRUE
