V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5159,ALA_6113,Thrixspermum platystachys,-17.3,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Schltr.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912986.2,4183,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204166,Thrixspermum platystachys,Thrixspermum,platystachys,(F.M.Bailey) Schltr.,Species,Accepted,NA,660284-1,204166,0,20,"c(145.9, -17.3)",TRUE
14054,ALA_18149,Thrixspermum platystachys,-17.6,146.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Schltr.,NA,Australia,AU,NA,5,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9306459.1,CHB508,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204166,Thrixspermum platystachys,Thrixspermum,platystachys,(F.M.Bailey) Schltr.,Species,Accepted,NA,660284-1,204166,0,20,"c(146.1, -17.6)",TRUE
14314,ALA_18529,Thrixspermum congestum,-17.4,145.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,NA,Australia,AU,NA,8,1990,PRESERVED_SPECIMEN,CANB,CANB,CANB 669373.1,108,"Lawler, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(145.4, -17.4)",TRUE
35792,ALA_56217,Thrixspermum congestum,-17.4,146,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,NA,Australia,AU,NA,11,1940,PRESERVED_SPECIMEN,NSW,NSW,NSW808261,s.n.,"Bates, G. | Flecker, H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(146, -17.4)",TRUE
38881,ALA_60257,Thrixspermum platystachys,-17,145.7,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Schltr.,NA,Australia,AU,NA,6,1943,PRESERVED_SPECIMEN,NSW,NSW,NSW808264,s.n.,"Johnson, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204166,Thrixspermum platystachys,Thrixspermum,platystachys,(F.M.Bailey) Schltr.,Species,Accepted,NA,660284-1,204166,0,20,"c(145.7, -17)",TRUE
59592,ALA_84900,Thrixspermum congestum,-17.5,146,dr15865,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,NA,Australia,AU,NA,12,1935,PRESERVED_SPECIMEN,AD,AD,AD 98139007,1087,"Bates, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(146, -17.5)",TRUE
70482,ALA_98032,Thrixspermum congestum,-11.5212,130.522,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,"Melville Island, Hanguana Jungle.",Australia,AU,NA,7,1997,PRESERVED_SPECIMEN,DNA,DNA,DNA D0132826,381,Shane Calliss | Carrie Robyn Michell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(130.522, -11.5212)",TRUE
70514,ALA_98096,Thrixspermum congestum,-11.507,130.545,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,"Melville island, Jump-up jungle",Australia,AU,NA,2,1984,PRESERVED_SPECIMEN,DNA,DNA,DNA D0022947,1337,David L. Jones,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(130.545, -11.507)",TRUE
70529,ALA_98123,Thrixspermum congestum,-11.5107,130.5461,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Dockrill,Melville Isle; edge of Jump Up Jungle,Australia,AU,NA,12,1995,PRESERVED_SPECIMEN,DNA,DNA,DNA D0126229,1,Shane Calliss,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204060,Thrixspermum congestum,Thrixspermum,congestum,(F.M.Bailey) Dockrill,Species,Accepted,NA,660174-1,204060,0,21,"c(130.5461, -11.5107)",TRUE
70767,ALA_98498,Thrixspermum platystachys,-16.5,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thrixspermum,species,(F.M.Bailey) Schltr.,NA,Australia,AU,NA,5,2012,PRESERVED_SPECIMEN,CNS,CNS,CNS 143613.1,70,"Schulte, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204166,Thrixspermum platystachys,Thrixspermum,platystachys,(F.M.Bailey) Schltr.,Species,Accepted,NA,660284-1,204166,0,20,"c(145.3, -16.5)",TRUE
