V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
116578,GBIF_23793,Thunia alba,25.5,98.5,575025004,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,China:Yunnan:Hills N.W. of Tengyueh,NA,CN,1829,6,1925,PRESERVED_SPECIMEN,RBGE,E,E00123371,26787,"Forrest, George",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(98.5, 25.5)",TRUE
126041,GBIF_47794,Thunia alba,24.615701,100.709787,1304081831,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,Shih-So,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7f6948-b6bf-11e1-8c2f-acd112e444a7,without-number,李鸣岗,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(100.709787, 24.615701)",TRUE
126434,GBIF_48615,Thunia alba,24.580446,99.92854,1304095711,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,"Shunning, Huaiyaupu",NA,CN,NA,NA,1938,PRESERVED_SPECIMEN,KUN,NA,fd0ad73e-b6bf-11e1-8c2f-acd112e444a7,without-number,俞德浚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(99.92854, 24.580446)",TRUE
145897,GBIF_76135,Thunia alba,21.2858,93.667322,1056365902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb.f.,Mindat; 4000-4500',NA,MM,1371.5,6,1956,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091472,22320,Capt. Francis (Frank) Kingdon-Ward,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,0,16,"c(93.667322, 21.2858)",TRUE
146169,GBIF_76417,Thunia alba,27.5544,88.4517,1056890087,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb.f.,NA,NA,IN,NA,NA,1891,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091488,81,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,0,16,"c(88.4517, 27.5544)",TRUE
148527,GBIF_79368,Thunia alba,24.07,101.98,4043471216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,1958,PRESERVED_SPECIMEN,KUN,NA,0026726,without-number,武素功,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(101.98, 24.07)",TRUE
148881,GBIF_79899,Thunia alba,24.45,100.83,4044758155,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,1959,PRESERVED_SPECIMEN,KUN,NA,0026732,without-number,许溯桂,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(100.83, 24.45)",TRUE
152099,GBIF_83728,Thunia alba,22.753063,100.893393,2382938062,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,Lindl.,Szemao [= Simao District],NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,4111316,11091A,A. Henry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,10,5,"c(100.893393, 22.753063)",TRUE
170400,GBIF_112371,Thunia alba,24.45,100.83,4044169462,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,1956,PRESERVED_SPECIMEN,KUN,NA,434313,without-number,邱炳云,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(100.83, 24.45)",TRUE
170499,GBIF_112502,Thunia alba,22.63,99.62,4043605522,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,IMDY,NA,IMDY0025280,without-number,郭绍荣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(99.62, 22.63)",TRUE
170553,GBIF_112599,Thunia alba,26.88,102.12,4043794242,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,1958,PRESERVED_SPECIMEN,NAS,NA,NAS00560790,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(102.12, 26.88)",TRUE
171858,GBIF_114779,Thunia alba,23.12,104.7,4043922997,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,CN,NA,NA,2002,PRESERVED_SPECIMEN,PE,NA,02097616,without-number,HK kadoorie PT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(104.7, 23.12)",TRUE
183799,GBIF_129200,Thunia alba,22.3,103.25,1258677249,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb. f.,"Distr. Sin Ho, municipality Ta Ngau about 30 km from Lai Chau town to the N. Secondary open wet mossy evergreen broadleaved forest with remnants of primary elements on rocky foothills of remnant karst limestone ridge.",NA,VN,1625,5,1999,PRESERVED_SPECIMEN,MO,Tropicos,1448828,2749,T.H. Nguyên;P.H. Hoang;L. V. Averyanov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,1,14,"c(103.25, 22.3)",TRUE
185701,GBIF_131260,Thunia alba,22.307222,103.246667,4031665712,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb. f.,"Sin Ho Distr. Xa De Phin Mun., Mao Xa Phin village.",NA,VN,1579,6,2006,PRESERVED_SPECIMEN,MO,Tropicos,102539048,HAL8711,P.K. Lôc;N.T. Vinh;N.S. Khang;P.N. Quan;T.A. Suu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,1,14,"c(103.246667, 22.307222)",TRUE
188018,GBIF_133698,Thunia alba,22.538889,103.558611,1257529915,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb. f.,"Phong Tho Distr., Sin Suoi Ho Municipality, Sa Ma Pho village.",NA,VN,1800,12,2006,PRESERVED_SPECIMEN,MO,Tropicos,100174810,HAL10605,T.H. Nguyên;L. V. Averyanov;P.K. Lôc;V.T. Pham;N.T. Vinh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,1,14,"c(103.558611, 22.538889)",TRUE
229779,GBIF_188712,Thunia alba,18.58783,98.48631,2513827243,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,Rchb.f.,"Thailand, Northern, Prov. Chiang Mai: the west side of Check Point (RS-18), Doi Inthanon.",NA,TH,NA,7,1988,PRESERVED_SPECIMEN,NA,Botany,L.1529495,"Koyama, H T- 61076",Koyama H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,9,7,"c(98.48631, 18.58783)",TRUE
237608,GBIF_197754,Thunia alba,19.416667,98.3,912481102,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb.f.,"Doi Kin Lom, Mûang Pai",NA,TH,1300,5,1921,PRESERVED_SPECIMEN,K,Herbarium,K000596429,427,"Kerr, A.F.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,0,16,"c(98.3, 19.416667)",TRUE
252886,GBIF_218358,Thunia alba,23.41,92.36,3351610507,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,NA,NA,NA,IN,NA,3,2018,PRESERVED_SPECIMEN,NA,NA,RE-14,without-number,G. Rosangkima,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,16,-1,"c(92.36, 23.41)",TRUE
270864,GBIF_239524,Thunia alba,27.5544,88.4517,1057050535,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thunia,SPECIES,(Lindl.) Rchb.f.,NA,NA,IN,NA,5,1876,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091485,27908a,Charles Baron Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,204311,Thunia alba,Thunia,alba,(Lindl.) Rchb.f.,Species,Accepted,NA,660350-1,204311,0,16,"c(88.4517, 27.5544)",TRUE
