V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
120128,GBIF_33761,Tipularia discolor,33.699843,-89.620141,4088564399,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"Camp McCain, Area #11C",NA,US,NA,9,1994,PRESERVED_SPECIMEN,USMS,NA,USMS_000003018,7681,"John, MacDonald",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-89.620141, 33.699843)",TRUE
120152,GBIF_33785,Tipularia discolor,31.648567,-88.644235,4088566443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"""""""""Atamasco flats"""""""" off Highway 63",NA,US,NA,4,2013,PRESERVED_SPECIMEN,USMS,NA,USMS_000024317,1801,"McNair, Daniel",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-88.644235, 31.648567)",TRUE
131638,GBIF_56406,Tipularia josephi,31.712092,88.118532,1055710424,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,King & Prain,NA,NA,CN,NA,6,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000090177,5008,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,206133,Tipularia josephi,Tipularia,josephi,Rchb.f. ex Lindl.,Species,Accepted,NA,660374-1,206133,14,2,"c(88.118532, 31.712092)",TRUE
132000,GBIF_56778,Tipularia discolor,32.97,-86.95,3744702264,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,along the banks of Sixmile Creek near Thomas Mill. 4 miles East of Sixmile,NA,US,NA,5,1963,PRESERVED_SPECIMEN,UNA,NA,UNA00008570,Joab L. Thomas 765,Joab L. Thomas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-86.95, 32.97)",TRUE
132001,GBIF_56779,Tipularia discolor,33.99,-86.6,3744702268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,1.5 air mi W of Cleveland.,NA,US,NA,8,1997,PRESERVED_SPECIMEN,UNA,NA,UNA00053940,Brian R. Keener 332,Brian R. Keener,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-86.6, 33.99)",TRUE
132002,GBIF_56780,Tipularia discolor,33.07,-87.01,3744702270,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,ca 10.9 mi Ne of Centreville ca 1.2 mi NW of mouth of Alligator Creek ca 0.55 mi WSW of Alligator Creek,NA,US,NA,10,1992,PRESERVED_SPECIMEN,UNA,NA,UNA00057780,James R. Allison 7413,"James R. Allison, Timothy E. Stevens",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-87.01, 33.07)",TRUE
132003,GBIF_56781,Tipularia discolor,32.73,-85.5,3744702275,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,Verbena,NA,US,NA,8,1874,PRESERVED_SPECIMEN,UNA,NA,UNA00012837,Eugene A. Smith s.n.,Eugene A. Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-85.5, 32.73)",TRUE
132004,GBIF_56782,Tipularia discolor,32.79,-86.44,3744702276,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"Ca. 11 mi. due SE of Clanton along St. Rt. 22 T21N, R16E, Sec. 22",NA,US,NA,3,1987,PRESERVED_SPECIMEN,UNA,NA,UNA00008560,Robert R. Haynes 8784,Robert R. Haynes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-86.44, 32.79)",TRUE
132005,GBIF_56783,Tipularia discolor,33.93,-87.09,3744702279,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"Unnumbered road to Lewis Smith Dam (Cullman Co. side of river), ca. 18.5 mi. due SW of Good Hope T13SRSW7",NA,US,NA,4,1987,PRESERVED_SPECIMEN,UNA,NA,UNA00008545,Robert R. Haynes 8934,Robert R. Haynes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-87.09, 33.93)",TRUE
132006,GBIF_56784,Tipularia discolor,31.36,-86.93,3744702282,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"Co. Rt. 29 where crossed by stream from pond at Jay Villa; ca. 7 mi. due NE of Castleberry TSN, R11E, Sec. 26",NA,US,NA,3,1987,PRESERVED_SPECIMEN,UNA,NA,UNA00008550,Robert R. Haynes 8815,Robert R. Haynes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-86.93, 31.36)",TRUE
132007,GBIF_56785,Tipularia discolor,33.95,-87.09,3744702288,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,boat landing on smith lake near macedonia church; ca. 17.5 mi. due sw of good hope T12SR5W32,NA,US,NA,4,1987,PRESERVED_SPECIMEN,UNA,NA,UNA00008540,Robert R. Haynes 8917,Robert R. Haynes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-87.09, 33.95)",TRUE
132008,GBIF_56786,Tipularia discolor,32.85,-86.33,3744702305,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tipularia,SPECIES,(Pursh) Nutt.,"Tanglewood, University of Alabama Biological Station, near Akron.",NA,US,NA,8,1966,PRESERVED_SPECIMEN,UNA,NA,UNA00008565,Norris H. Williams 414,Norris H. Williams,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,206129,Tipularia discolor,Tipularia,discolor,(Pursh) Nutt.,Species,Accepted,NA,30220355-2,206129,0,13,"c(-86.33, 32.85)",TRUE
