V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
265052,GBIF_232801,Trevoria zahlbruckneriana,11.45,-85.516667,1258646408,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,(Schltr.) Garay,Volcano Maderas in Lake Nicaragua,NA,NI,1000,NA,1959,PRESERVED_SPECIMEN,F,Tropicos,1420299,9723,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207648,Trevoria zahlbruckneriana,Trevoria,zahlbruckneriana,(Schltr.) Garay,Species,Accepted,NA,660408-1,207648,0,15,"c(-85.516667, 11.45)",TRUE
266091,GBIF_234016,Trevoria glumacea,10.286111,-84.661111,3946765341,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Garay,La Tigra. Entre la fila divisoria de agua (Rincón de Cedral) y Cerro Bekom.,NA,CR,1400,5,1996,PRESERVED_SPECIMEN,CR,Tropicos,101309054,78,Patrick Kuss;Gerardo Herrera Ch.;William Badilla,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,0,5,"c(-84.661111, 10.286111)",TRUE
282921,GBIF_263288,Trevoria glumacea,11.45,-85.516667,4060944191,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Garay,NA,NA,NI,NA,NA,1963,PRESERVED_SPECIMEN,NA,Tropicos,1420295,8018,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,0,5,"c(-85.516667, 11.45)",TRUE
508128,GBIF_606669,Trevoria zahlbruckneriana,12.8614,-84.8978,1228201636,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,NA,Nicaragua,NA,NI,NA,NA,without-year,PRESERVED_SPECIMEN,F,Botany,NA,9723,A. H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,207648,Trevoria zahlbruckneriana,Trevoria,zahlbruckneriana,(Schltr.) Garay,Species,Accepted,NA,660408-1,207648,15,-1,"c(-84.8978, 12.8614)",TRUE
516330,GBIF_621254,Trevoria glumacea,11.45,-85.516667,4061687136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Garay,NA,NA,NI,NA,NA,1959,PRESERVED_SPECIMEN,NA,Tropicos,1420296,10480,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,0,5,"c(-85.516667, 11.45)",TRUE
527411,GBIF_636185,Trevoria glumacea,11.833333,-85.983333,1258646395,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Garay,Volcán Mombacho,NA,NI,1050,5,1975,PRESERVED_SPECIMEN,MSC,Tropicos,1420297,A209,John T. Atwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,0,5,"c(-85.983333, 11.833333)",TRUE
596556,GBIF_743665,Trevoria glumacea,10.28,-84.66,46102007,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Trevoria glumacea  Garay,Entre la fila divisoria de agua (Rincón de Cedral) y Cerro Bekom.,NA,CR,1400,5,1996,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),210769,without-number,"Kuss, Patrick",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,19,5,"c(-84.66, 10.28)",TRUE
604097,GBIF_753331,Trevoria lehmannii,0.4833,-78.18333,1261382855,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Rolfe,Cachaco-Santa Rosa de Cachaco,NA,EC,1150,1,1987,PRESERVED_SPECIMEN,RPSC,Tropicos,667704,16880,Calaway H. Dodson;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207647,Trevoria lehmannii,Trevoria,lehmannii,Rolfe,Species,Accepted,NA,256581-2,207647,0,5,"c(-78.18333, 0.4833)",TRUE
606354,GBIF_757400,Trevoria glumacea,11.45,-85.516667,1258646404,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trevoria,SPECIES,Garay,Volcano Maderas in Lake Nicaragua,NA,NI,1000,NA,1959,PRESERVED_SPECIMEN,F,Tropicos,1420293,10473,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207646,Trevoria glumacea,Trevoria,glumacea,Garay,Species,Accepted,NA,660406-1,207646,0,5,"c(-85.516667, 11.45)",TRUE
677308,SPECIESLINKS_57904,Trevoria lehmannii,0.4833,-78.18333,667704,Plantae,NA,NA,NA,Orchidaceae,Trevoria,NA,Rolfe,Cachaco-Santa Rosa de Cachaco,Equador,Equador,NA,1,1987,PreservedSpecimen,RPSC,MO-DUPLICATES,667704,16880,Calaway H. Dodson|et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,207647,Trevoria lehmannii,Trevoria,lehmannii,Rolfe,Species,Accepted,NA,256581-2,207647,0,5,"c(-78.18333, 0.4833)",TRUE
