V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
256588,GBIF_222360,Triceratorhynchus viridiflorus,-2.48,29.22,2268848488,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,"Nyungwe, route Pindura.",NA,RW,1900,10,1993,PRESERVED_SPECIMEN,BR,Tropicos,100947971,1,"Delepierre, Gilbert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.22, -2.48)",TRUE
263847,GBIF_231120,Triceratorhynchus viridiflorus,-2.5167,29.3333,2268848811,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,Forêt de Nyungwe.,NA,RW,NA,2,2000,PRESERVED_SPECIMEN,BR,Tropicos,100947972,86,"Delepierre, Gilbert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.3333, -2.5167)",TRUE
284360,GBIF_265129,Triceratorhynchus viridiflorus,0.25,34.866667,4061125620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,Kakamenga Forest.,NA,KE,NA,6,1944,PRESERVED_SPECIMEN,NA,Tropicos,100947976,648,E.M. Tweedie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(34.866667, 0.25)",TRUE
319741,GBIF_325498,Triceratorhynchus viridiflorus,-2.9197,29.3892,2268848017,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,"Nyabihere, zone Ndora.",NA,BI,NA,11,1991,PRESERVED_SPECIMEN,BR,Tropicos,100947970,294bis,"Arbonnier, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.3892, -2.9197)",TRUE
353039,GBIF_375400,Triceratorhynchus viridiflorus,-3.2,29.55,2268848526,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,"Mont Ngoma, cascade de Nyabihondo.",NA,BI,NA,11,1990,PRESERVED_SPECIMEN,BR,Tropicos,100947969,352,"Arbonnier, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.55, -3.2)",TRUE
375694,GBIF_412535,Triceratorhynchus viridiflorus,-3.2,29.616667,1840885212,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,NA,Nyabigondo,NA,BI,NA,10,1990,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102000099023,132,Arbonnier M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,8,-1,"c(29.616667, -3.2)",TRUE
515472,GBIF_619858,Triceratorhynchus viridiflorus,-3.2,29.6167,2268848561,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,Nyabigondo.,NA,BI,NA,10,1990,PRESERVED_SPECIMEN,BR,Tropicos,100947968,132,"Arbonnier, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.6167, -3.2)",TRUE
515473,GBIF_619859,Triceratorhynchus viridiflorus,-2.49,29.18,2268847774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,"Forêt de Nyungwe, route Pindura-Bweyeye.",NA,RW,1900,10,1993,PRESERVED_SPECIMEN,BR,Tropicos,100947973,200,"Delepierre, Gilbert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(29.18, -2.49)",TRUE
599084,GBIF_746839,Triceratorhynchus viridiflorus,-3.183333,29.55,1839522886,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,NA,"Mont Ngoma, cascade de Nyabihondo, forêt d'altitude",NA,BI,NA,11,1990,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000008810076,352,Arbonnier M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,8,-1,"c(29.55, -3.183333)",TRUE
605390,GBIF_755757,Triceratorhynchus comptus,1.783333,31.583333,1258079145,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,Bunyoro Dist.: Budongo Forest,NA,UG,1000,4,1944,PRESERVED_SPECIMEN,K,Tropicos,100748632,5381,W.J. Eggeling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531767,Triceratorhynchus comptus,Triceratorhynchus,comptus,"(Summerh.) Szlach., Oledrz. & Mytnik",Species,Accepted,NA,77193040-1,531767,28,6,"c(31.583333, 1.783333)",TRUE
630924,GBIF_794979,Triceratorhynchus viridiflorus,1.783333,31.583333,2268848464,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Triceratorhynchus,SPECIES,Summerh.,Bunyoro Dist.: Budongo Forest.,NA,UG,NA,6,1944,PRESERVED_SPECIMEN,K,Tropicos,100947975,5492,W.J. Eggeling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,0,8,"c(31.583333, 1.783333)",TRUE
652640,RAINBIO_17070,Triceratorhynchus viridiflorus,-3.2,29.6167,1161052,NA,Magnoliophyta,NA,Asparagales,Orchidaceae,Triceratorhynchus,ESP,NA,NA,Burundi,BDI,NA,NA,without-year,PreservedSpecimen,BR,NA,BR0000006801304BGB403066,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208010,Triceratorhynchus viridiflorus,Triceratorhynchus,viridiflorus,Summerh.,Species,Accepted,NA,660443-1,208010,8,-1,"c(29.6167, -3.2)",TRUE
