V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114909,GBIF_19121,Trichopilia tortilis,13.605519,-88.82728,1929849051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Lindl.,Volcán de San Vicente.,NA,SV,NA,3,1922,PRESERVED_SPECIMEN,NY,NY,01393398,21595,P. C. Standley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208284,Trichopilia tortilis,Trichopilia,tortilis,Lindl.,Species,Accepted,NA,660624-1,208284,0,6,"c(-88.82728, 13.605519)",TRUE
128986,GBIF_53649,Trichopilia marginata,10.24,-84.63,1261355446,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Henfr.,Reserva Forestal de San Ramón,NA,CR,900,1,1987,PRESERVED_SPECIMEN,MO,Tropicos,639131,414,Gerardo Herrera Ch.;Víctor Mora;Abelardo Chacón;Isidro A. Chacón G.;Ángel Solís,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208267,Trichopilia marginata,Trichopilia,marginata,Henfr.,Species,Accepted,NA,660607-1,208267,0,6,"c(-84.63, 10.24)",TRUE
129429,GBIF_54103,Trichopilia tortilis,13.774167,-85.992555,4031365420,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Lindl.,"4.6 km E of Murra (bridge); disturbed cloud forest on schist, mostly converted to coffee",NA,NI,1187,12,2014,PRESERVED_SPECIMEN,MO,Tropicos,102912635,35230,W. D. Stevens;O. M. Montiel J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208284,Trichopilia tortilis,Trichopilia,tortilis,Lindl.,Species,Accepted,NA,660624-1,208284,0,6,"c(-85.992555, 13.774167)",TRUE
130415,GBIF_55116,Trichopilia suavis,10.88,-85.4,1258593461,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Lindl. & Paxton,"Parque Nacional Guanacaste, Cordillera de Guanacaste, Sector San Ramón, Dos Ríos",NA,CR,550,1,1995,PRESERVED_SPECIMEN,MO,Tropicos,1372208,1207,Roberto Espinoza;Freddy A. Quesada;Ulises Chavarría,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,208282,Trichopilia suavis,Trichopilia,suavis,Lindl. & Paxton,Species,Accepted,NA,660622-1,208282,0,15,"c(-85.4, 10.88)",TRUE
137748,GBIF_63266,Trichopilia rostrata,-2.23333,-80.55,1657211759,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Rchb. f.,"Centinela Ridge, 12 km E of Patricia Pilar.",NA,EC,NA,7,1980,PRESERVED_SPECIMEN,USF,Herb,295079,3772,"R. P. Sauleda, M. Ragan, H. Luther, R. Wunderlin, B. Hansen, L. Davenport, J. Wiersema",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208279,Trichopilia rostrata,Trichopilia,rostrata,Rchb.f.,Species,Accepted,NA,660619-1,208279,1,5,"c(-80.55, -2.23333)",TRUE
137831,GBIF_63350,Trichopilia grata,-2.77928,-78.7621,1657211790,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Rchb. f.,Confluence of Rio Masar with Rio Paute.,NA,EC,NA,10,1956,PRESERVED_SPECIMEN,USF,Herb,30907,s.n.,Collector unspecified on label,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208254,Trichopilia grata,Trichopilia,grata,Rchb.f.,Species,Accepted,NA,257528-2,208254,1,5,"c(-78.7621, -2.77928)",TRUE
138377,GBIF_63920,Trichopilia backhousiana,6.61963,-75.9721,1657211762,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Rchb. f.,Cordillera Occidental; veriente occidental; Hoya del río Dígua; Río San Juan; abajo de Queremal a la derecha del río entre km 52 y 53.,NA,CO,1400,3,1947,PRESERVED_SPECIMEN,USF,Herb,30903,23984,J. Cuatrecasas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208241,Trichopilia backhousiana,Trichopilia,backhousiana,Rchb.f.,Species,Accepted,NA,660584-1,208241,1,5,"c(-75.9721, 6.61963)",TRUE
138840,GBIF_64401,Trichopilia rostrata,1.11551,-78.7687,1657211795,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,Rchb. f.,"Cordillera Occidental; Limones, lower Intag Valley.",NA,EC,NA,9,1944,PRESERVED_SPECIMEN,USF,Herb,30910,E-683,W. B. Drew,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208279,Trichopilia rostrata,Trichopilia,rostrata,Rchb.f.,Species,Accepted,NA,660619-1,208279,1,5,"c(-78.7687, 1.11551)",TRUE
138901,GBIF_64469,Trichopilia fragrans,2.73294,-76.8274,1657211774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,H. Wendl.,Ad pag. El Tambo.,NA,CO,800,4,1937,PRESERVED_SPECIMEN,USF,Herb,30904,1255,K. von Sneidern,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208251,Trichopilia fragrans,Trichopilia,fragrans,(Lindl.) Rchb.f.,Species,Accepted,NA,660593-1,208251,13,1,"c(-76.8274, 2.73294)",TRUE
139205,GBIF_64783,Trichopilia tortilis,15.140663,-92.245936,1897602483,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trichopilia,SPECIES,"Lindl., 1836",Providencia,NA,MX,0,4,2009,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,165,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,208284,Trichopilia tortilis,Trichopilia,tortilis,Lindl.,Species,Accepted,NA,660624-1,208284,6,6,"c(-92.245936, 15.140663)",TRUE
