V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
124938,GBIF_46381,Trizeuxis falcata,2.0092,-63.18,1042602334,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,NA,"Vicinity of Uaicá airstrip, Rio Uraricoeira. Forest on terra firme.",NA,BR,0,3,1971,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",29235,10884,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,6,-1,"c(-63.18, 2.0092)",TRUE
130170,GBIF_54865,Trizeuxis falcata,-12.54,-69.05,1261392415,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"Alrededores del Albergue turístico Cusco Amazónico. Margen izquierdo del Río Madre de Dios, ca 35 km de Puerto Maldonado.",NA,PE,200,10,1988,PRESERVED_SPECIMEN,MO,Tropicos,676979,10020,Percy Núñez V.;C. Cárdenas;W. Duellman;B. Buchanan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-69.05, -12.54)",TRUE
130680,GBIF_55389,Trizeuxis falcata,7,-64.91666,1260201988,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"Río Caura, Jabillal.",NA,VE,70,3,1989,PRESERVED_SPECIMEN,MO,Tropicos,2846444,5198,Ángel Fernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-64.91666, 7)",TRUE
131345,GBIF_56077,Trizeuxis falcata,10.407189,-61.390661,1056167424,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,NA,NA,TT,NA,3,1926,PRESERVED_SPECIMEN,NHMUK,BOT,BM000533810,s.n.,Walter Elias Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-61.390661, 10.407189)",TRUE
137966,GBIF_63489,Trizeuxis falcata,2.88333,-76.6667,1657211502,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"El Cauca Aganche, Cauca Valley along Rio Cauca, S of Aganche.",NA,CO,1175,6,1922,PRESERVED_SPECIMEN,USF,Herb,26938,3052,"F. W. Pennell, E.P. Killip",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-76.6667, 2.88333)",TRUE
143193,GBIF_69061,Trizeuxis falcata,-17.0144,-64.8328,1928008322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,Wetland next to the road between Ivirgarsama and Puerto Villarroel; 3 km NE of town.,NA,BO,NA,10,1996,PRESERVED_SPECIMEN,NY,NY,02473329,3837,N. Ritter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-64.8328, -17.0144)",TRUE
143336,GBIF_69207,Trizeuxis falcata,-9.0693008,-68.6584285,1929904378,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"Trail from Rio Iaco to Rio Purus, 3km above confluence.",NA,BR,NA,10,1968,PRESERVED_SPECIMEN,NY,NY,625786,7878,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-68.6584285, -9.0693008)",TRUE
161900,GBIF_102111,Trizeuxis falcata,10.0125,-85.400833,1253849404,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"Reserva Forestal Monte Alto, Río Nosara.",NA,CR,500,4,2005,PRESERVED_SPECIMEN,INBio,Plantae,4120905,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-85.400833, 10.0125)",TRUE
177528,GBIF_121177,Trizeuxis falcata,-24.800222,-47.886111,1077478316,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,Propriedade do Sr. Flávio,NA,BR,54,10,2013,PRESERVED_SPECIMEN,UTFPR-CP,HCF,13074,4840,M.G. Caxambú,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-47.886111, -24.800222)",TRUE
177754,GBIF_121413,Trizeuxis falcata,-11.002778,-55.467222,1801350248,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Trizeuxis,SPECIES,Lindl.,"Resgate de FLORA da UHE Colider, Lote",NA,BR,267,9,2014,PRESERVED_SPECIMEN,UTFPR-CP,HCF,24549,2865,M.E. Engels,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209222,Trizeuxis falcata,Trizeuxis,falcata,Lindl.,Species,Accepted,NA,660865-1,209222,0,6,"c(-55.467222, -11.002778)",TRUE
