V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
10188,ALA_12759,Tropidia viridifusca,-22.133333,166.666667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,Kraenzl.,"Pass Col de Mouirange, on Yate road.",New Caledonia,NC,NA,8,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9212999.2,7864,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209276,Tropidia viridifusca,Tropidia,viridifusca,Kraenzl.,Species,Accepted,NA,660910-1,209276,0,8,"c(166.666667, -22.133333)",TRUE
14883,ALA_19362,Tropidia territorialis,-6.401667,143.216944,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,"SOUTHERN HIGHLANDS PROVINCE: Araucaria Ridge, half way between Moro and Ridge Camp, Lake Kutabu.",Papua New Guinea,PG,NA,7,2000,PRESERVED_SPECIMEN,CANB,CANB,CANB 617763.2,10123,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(143.216944, -6.401667)",TRUE
25820,ALA_37772,Tropidia viridifusca,-22.173611,166.509722,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,Kraenzl.,Mont Koghis.,New Caledonia,NC,NA,8,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 998228.1,11208,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209276,Tropidia viridifusca,Tropidia,viridifusca,Kraenzl.,Species,Accepted,NA,660910-1,209276,0,8,"c(166.509722, -22.173611)",TRUE
70323,ALA_97748,Tropidia territorialis,-13.1639096,130.2355207,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,11km E Channel Point,Australia,AU,NA,11,1988,PRESERVED_SPECIMEN,DNA,DNA,DNA D0038062,6402,D. Lucas | Jeremy Russell-Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(130.2355207, -13.1639096)",TRUE
70479,ALA_98029,Tropidia territorialis,-13.1305704,130.3688648,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,Wagait Reserve,Australia,AU,NA,12,1983,PRESERVED_SPECIMEN,DNA,DNA,DNA D0022195,6390,Clyde Robert Dunlop,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(130.3688648, -13.1305704)",TRUE
70496,ALA_98057,Tropidia territorialis,-12.5472436,131.2021719,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,"Black Jungle Reserve, Tropidia Jungle",Australia,AU,NA,10,1986,PRESERVED_SPECIMEN,DNA,DNA,DNA D0028415,6825,Clyde Robert Dunlop,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(131.2021719, -12.5472436)",TRUE
70512,ALA_98091,Tropidia territorialis,-13.1305704,130.3688648,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,Wagait Reserve,Australia,AU,NA,12,1984,PRESERVED_SPECIMEN,DNA,DNA,DNA D0025738,1746,David L. Jones,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(130.3688648, -13.1305704)",TRUE
70572,ALA_98205,Tropidia territorialis,-13.9138683,136.7187603,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,Groote Eylandt 8km SW Umbakumba,Australia,AU,NA,7,1987,PRESERVED_SPECIMEN,DNA,DNA,DNA D0030070,2768,D. Lucas | Jeremy Russell-Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(136.7187603, -13.9138683)",TRUE
70614,ALA_98283,Tropidia territorialis,-12.8139148,130.3688571,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Tropidia,species,D.L.Jones & M.A.Clem.,2kms SE of Stingray Head.,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,DNA,DNA,DNA D0039744,2673,Clyde Robert Dunlop | Gregory John Leach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,270893,Tropidia territorialis,Tropidia,territorialis,D.L.Jones & M.A.Clem.,Species,Accepted,NA,77062195-1,270893,0,21,"c(130.3688571, -12.8139148)",TRUE
106767,GBIF_9976,Tropidia pedunculata,-7.41667,147.16667,2513831373,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tropidia,SPECIES,Blume,NA,NA,PG,NA,8,1970,PRESERVED_SPECIMEN,NA,Botany,L.1535126,"Streimann, H NGF 45122",Streimann H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209262,Tropidia pedunculata,Tropidia,pedunculata,Blume,Species,Accepted,NA,660896-1,209262,0,5,"c(147.16667, -7.41667)",TRUE
