V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
187880,GBIF_133558,Tuberolabium elobe,17.6725,105.96666,1260768912,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Plants of Phong Nha - Ke Bang National Park. Minh Hoa Distr. Thuong Hoa Municipality, Yen Hop village, about 1 km to NWW of Ban On village. Primary closed evergreen broad-leaved and coniferous lowland forest (with Dacrydium elatum) along rocky ridge composed with solid marble-like highly eroded stratified crystalline limestone.",NA,VN,600,1,2005,PRESERVED_SPECIMEN,MO,Tropicos,3359860,5997,L. V. Averyanov;P.K. Lôc;V.T. Pham;A. Averyanova;N.T. Vinh;N.Q. Vinh;N.T. Binh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(105.96666, 17.6725)",TRUE
190249,GBIF_136105,Tuberolabium elobe,17.6725,105.96666,1260768972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Phong Nha - Ke Bang National Park. Minh Hoa Distr., Thuong Hoa Municipality, around Ban On village. Primary closed evergreen broad-leaved forest on steep slopes and on tops of rocky ridge composed with solid marble-like highly eroded stratified crystalline limestone.",NA,VN,560,1,2005,PRESERVED_SPECIMEN,MO,Tropicos,3359871,6008,L. V. Averyanov;P.K. Lôc;V.T. Pham;A. Averyanova;N.T. Vinh;N.Q. Vinh;N.T. Binh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(105.96666, 17.6725)",TRUE
199808,GBIF_148399,Tuberolabium elobe,21.48,101.57,4045090240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,NA,NA,NA,CN,NA,NA,2012,PRESERVED_SPECIMEN,HITBC,NA,HITBC0027936,without-number,李剑武,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,19,-1,"c(101.57, 21.48)",TRUE
231122,GBIF_190463,Tuberolabium elobe,19.054167,104.605278,1257533392,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Tuong Duong Distr., Tam Quang Municipality, Tung Huong village, along Khe Mat stream.",NA,VN,530,3,2007,PRESERVED_SPECIMEN,MO,Tropicos,100179196,HLF6722,L. V. Averyanov;P.K. Lôc;N.V. Trai;N.T. Vinh;N. D. Phuong;A. Averyanova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(104.605278, 19.054167)",TRUE
433055,GBIF_498948,Tuberolabium elobe,18.252013,109.504134,1303716107,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,NA,海南岛,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,PE,NA,df1d96a1-b6bf-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,19,-1,"c(109.504134, 18.252013)",TRUE
449226,GBIF_518193,Tuberolabium escritorii,13.8971,122.454,2513119322,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Ames) Garay,"Philippines, Luzon, Province of Tayabas, Guinayangan.",NA,PH,NA,3,1913,PRESERVED_SPECIMEN,NA,Botany,L  0062605,"Escritor, L BS 20733",Escritor L,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209350,Tuberolabium escritorii,Tuberolabium,escritorii,(Ames) Garay,Species,Accepted,NA,660920-1,209350,0,12,"c(122.454, 13.8971)",TRUE
464530,GBIF_536391,Tuberolabium elobe,12.423611,108.354167,1697852950,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,NA,NA,NA,VN,900,5,2014,PRESERVED_SPECIMEN,Moscow State University,MW,MW0735555,1011,Nuraliev M. S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,19,-1,"c(108.354167, 12.423611)",TRUE
486781,GBIF_571652,Tuberolabium elobe,17.6725,105.96666,1260768965,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Plants of Phong Nha - Ke Bang National Park. Minh Hoa Distr. Thuong Hoa Municipality, about 1-1.5 km to SW of Ban On village, Ca Xach mountain. Primary closed evergreen broad-leaved gnarled stunted forest along rocky ridge composed with solid marble-like highly eroded crystalline limestone.",NA,VN,700,1,2005,PRESERVED_SPECIMEN,MO,Tropicos,3359757,5966,L. V. Averyanov;P.K. Lôc;V.T. Pham;A. Averyanova;N.T. Vinh;N.Q. Vinh;N.T. Binh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(105.96666, 17.6725)",TRUE
488050,GBIF_573173,Tuberolabium elobe,17.219722,106.449444,1257536612,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Quang Ninh Distr., Truong Son municipality, around Long Son village.",NA,VN,350,4,2008,PRESERVED_SPECIMEN,MO,Tropicos,100182529,HAL11499,L. V. Averyanov;P.K. Lôc;N.T. Vinh;N.S. Khang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(106.449444, 17.219722)",TRUE
565671,GBIF_702660,Tuberolabium elobe,22.273889,105.432778,4954234992,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Tuberolabium,SPECIES,(Seidenf.) Aver.,"Na Hang District, Thanh Tuong Municipality, near Ban Bung village.",NA,VN,600,3,2001,PRESERVED_SPECIMEN,NA,Tropicos,103833203,HAL 182,P.K. Lôc;N.X. Tam;L. V. Averyanov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209348,Tuberolabium elobe,Tuberolabium,elobe,(Seidenf.) Seidenf.,Species,Accepted,NA,945576-1,209348,6,11,"c(105.432778, 22.273889)",TRUE
