V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114988,GBIF_19205,Uleiorchis ulei,6,-65,2447355082,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,"selva siempre verde al lado Río Bonita (afluente del Río Cueuta y Río Níchare), en el cerro hacia Sierra Maigualida y Sierra Cervatana",NA,VE,NA,4,1966,PRESERVED_SPECIMEN,NY,NY,4170291,95775,J. A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-65, 6)",TRUE
124467,GBIF_45889,Uleiorchis ulei,3.383333,-61.43,1042567905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,NA,"SEMA - Ecological Reserve, Ilha de Maracá. On track to Santa Rosa",NA,BR,0,4,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167288,58,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,14,-1,"c(-61.43, 3.383333)",TRUE
124805,GBIF_46243,Uleiorchis ulei,-2.883333,-59.97,1042499489,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará",NA,BR,0,10,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195054,391,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,14,-1,"c(-59.97, -2.883333)",TRUE
125136,GBIF_46592,Uleiorchis ulei,-2.883333,-59.97,1042657518,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,10,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195243,140,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,14,-1,"c(-59.97, -2.883333)",TRUE
165219,GBIF_105841,Uleiorchis ulei,3.16667,-65.55,2515629078,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,Cogn.,"Estado Amazonas, Distrito Alto Orinoco, La Esmerelda, forest between La Esmerelda and the Cerro Duida approx. 2 km from La Esmerelda.",NA,VE,NA,4,1995,PRESERVED_SPECIMEN,NA,Botany,U.1468997,"Zimmermann, G 156",Zimmermann G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,9,5,"c(-65.55, 3.16667)",TRUE
180396,GBIF_124524,Uleiorchis ulei,-10.166667,-62.083333,2452833103,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,Igarapé Paraíso e arredores. Ponto I,NA,BR,NA,10,1986,PRESERVED_SPECIMEN,Instituto de Botânica,SP,212685,272,"Martuscelli, P",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-62.083333, -10.166667)",TRUE
211430,GBIF_164489,Uleiorchis ulei,3.616667,-53.2,2997104039,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,Saül. Near Eaux Claires onthe Sentier Botanique,NA,GF,250,11,1990,PRESERVED_SPECIMEN,MNHN,P,P00438750,21644,"Mori, C. Gracie, W. Buck;B. Fisher",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-53.2, 3.616667)",TRUE
232450,GBIF_191903,Uleiorchis ulei,9.366667,-78.966667,1261367564,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,"El Llano-Cartí Road. Km 26. [Coordinates on original label: 9º19'N, 78º55'W]",NA,PA,200,4,1985,PRESERVED_SPECIMEN,MO,Tropicos,652134,5248,Greg C. de Nevers;Heraclio Herrera;Susan Charnley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-78.966667, 9.366667)",TRUE
245591,GBIF_209838,Uleiorchis ulei,-19.1175,-39.917222,1086916389,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,Reserva Florestal da CVRD,NA,BR,37,11,2011,PRESERVED_SPECIMEN,IF,SPSF,48242,6815,D.A.Folli,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-39.917222, -19.1175)",TRUE
251664,GBIF_216508,Uleiorchis ulei,3.61667,-53.2,436976592,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uleiorchis,SPECIES,(Cogn.) Handro,NA,NA,GF,250,11,1990,PRESERVED_SPECIMEN,MNHN,P,P00438750,without-number,"Mori, S.;Gracie, C.;Buck, W.;Fisher, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209732,Uleiorchis ulei,Uleiorchis,ulei,(Cogn.) Handro,Species,Accepted,NA,259333-2,209732,0,14,"c(-53.2, 3.61667)",TRUE
