V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104448,GBIF_675,Uncifera lancifolia,27.5544,88.4517,1055503703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,King & Pantl.,NA,NA,IN,NA,7,1897,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539438,152,Robert Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209898,Uncifera lancifolia,Uncifera,lancifolia,(King & Pantl.) Schltr.,Species,Accepted,NA,660963-1,209898,10,11,"c(88.4517, 27.5544)",TRUE
125909,GBIF_47607,Uncifera acuminata,23.437468,104.672252,1304095681,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,Si-chour-hsien: Ting-mann,NA,CN,NA,NA,1947,PRESERVED_SPECIMEN,KUN,NA,fd0ae327-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(104.672252, 23.437468)",TRUE
126435,GBIF_48616,Uncifera acuminata,23.437468,104.672252,1304095720,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,法斗,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,fd0ae39c-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(104.672252, 23.437468)",TRUE
144644,GBIF_70543,Uncifera acuminata,24.928056,98.766667,1890656611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,"China:Yunnan:Longyang:Qu:Bawan Cun, Dasheyao, on E side of Gaoligong Shan along the old road from Baoshan to Tengchong via Dahaoping.",NA,CN,2240,9,2003,PRESERVED_SPECIMEN,RBGE,E,E00913082,18644,"Gaoligong Shan Biotic Survey Expedition - Autumn 2003,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(98.766667, 24.928056)",TRUE
343691,GBIF_362850,Uncifera acuminata,22.98,103.68,4044994292,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,NA,NA,CN,NA,NA,1954,PRESERVED_SPECIMEN,WUK,NA,0195987,without-number,毛品一,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(103.68, 22.98)",TRUE
393467,GBIF_435662,Uncifera acuminata,26.136461,107.473464,2447310708,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,Lindl.,"Duyun, Tuyun",NA,CN,NA,7,1930,PRESERVED_SPECIMEN,NY,NY,04170294,5910,Y. Tsiang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,0,6,"c(107.473464, 26.136461)",TRUE
463452,GBIF_535188,Uncifera acuminata,22.624667,103.629083,3424032309,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,NA,NA,VN,NA,8,2019,PRESERVED_SPECIMEN,Moscow State University,MW,MW0757930,without-number,B.H. Quang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(103.629083, 22.624667)",TRUE
467920,GBIF_543466,Uncifera acuminata,24.835556,98.767778,1891267061,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,NA,"China:Yunnan:Longyang:Qu:Lihuipo area near Nankang Village. E side of Gaoligong Shan near the crest of the range, just N of the new road from Baoshan to Tengchong via Nankang Yakou.",NA,CN,2210,8,2003,PRESERVED_SPECIMEN,RBGE,E,E00913225,17700,"Gaoligong Shan Biotic Survey Expedition - Autumn 2003,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209893,Uncifera acuminata,Uncifera,acuminata,Lindl.,Species,Accepted,NA,660958-1,209893,6,-1,"c(98.767778, 24.835556)",TRUE
572526,GBIF_713050,Uncifera obtusifolia,27.5544,88.4517,1056655495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,Lindl.,NA,NA,IN,NA,8,1892,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539437,234,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,209900,Uncifera obtusifolia,Uncifera,obtusifolia,Lindl.,Species,Accepted,NA,660965-1,209900,0,6,"c(88.4517, 27.5544)",TRUE
582111,GBIF_724772,Uncifera lancifolia,27.5544,88.4517,1055532846,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Uncifera,SPECIES,King & Pantl.,NA,NA,IN,NA,6,1895,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539439,152,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,209898,Uncifera lancifolia,Uncifera,lancifolia,(King & Pantl.) Schltr.,Species,Accepted,NA,660963-1,209898,10,11,"c(88.4517, 27.5544)",TRUE
