V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
175362,GBIF_118693,Vargasiella peruviana,-10.446111,-75.416944,1257724969,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Dist. Huancabamba. Parque Nacional Yanachaga-Chemillen. Sector San Daniel.,NA,PE,2095,2,2009,PRESERVED_SPECIMEN,USM,Tropicos,100376631,35379,Rodolfo Vásquez;Luis Valenzuela G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.416944, -10.446111)",TRUE
184563,GBIF_130012,Vargasiella peruviana,-10.313056,-75.606111,4032124933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Dist. Huancabamba. Sector Oso Playa.,NA,PE,2559,10,2009,PRESERVED_SPECIMEN,MO,Tropicos,102718694,13484,Luis Valenzuela G.;Abel Monteagudo;M.A. Cueva;A. Peña Cruz;J. Mateo M.;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.606111, -10.313056)",TRUE
184566,GBIF_130015,Vargasiella peruviana,-10.299444,-75.61,4031710800,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,"Dist. Huancabamba. Sector Oso Playa. Quebrada, camino hacia la parcela.",NA,PE,2215,10,2009,PRESERVED_SPECIMEN,MO,Tropicos,102718865,13530,Luis Valenzuela G.;Abel Monteagudo;M.A. Cueva;A. Peña Cruz;J. Mateo M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.61, -10.299444)",TRUE
231864,GBIF_191254,Vargasiella peruviana,-10.299444,-75.61,4031900685,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Dist. Huancabamba. Oso playa.,NA,PE,2300,10,2009,PRESERVED_SPECIMEN,MO,Tropicos,102719969,13671,Luis Valenzuela G.;Abel Monteagudo;M.A. Cueva;A. Peña Cruz;J. Mateo M.;R. Rivera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.61, -10.299444)",TRUE
233575,GBIF_193078,Vargasiella peruviana,-10.58333,-75.33333,1261377499,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,"Cordillera Yanachaga: Road over shoulder of Cerro Pajonal to Villa Rica drainage, 12 km SE of Oxapampa. Cloud forest.",NA,PE,2400,10,1982,PRESERVED_SPECIMEN,MO,Tropicos,662366,9094,Robin B. Foster;David N. Smith,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.33333, -10.58333)",TRUE
266748,GBIF_234950,Vargasiella peruviana,-16.3,-67.8,1261370839,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,4 km NE of Chuspipata on the road to Coroico. Cloud forest.,NA,BO,2800,2,1986,PRESERVED_SPECIMEN,LPB,Tropicos,655537,14982,James C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-67.8, -16.3)",TRUE
290744,GBIF_288188,Vargasiella peruviana,-10.649722,-75.292778,1257586772,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Chacos.,NA,PE,2700,11,2009,PRESERVED_SPECIMEN,MO,Tropicos,100234748,23231,H. van der Werff;A. Peña Cruz;César Rojas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.292778, -10.649722)",TRUE
357919,GBIF_382793,Vargasiella peruviana,-10.492778,-75.391111,1258022085,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Distrito Oxapampa. Localidad Grapanazú.,NA,PE,2288,11,2012,PRESERVED_SPECIMEN,USM,Tropicos,100683467,38204,Rodolfo Vásquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-75.391111, -10.492778)",TRUE
364066,GBIF_393592,Vargasiella peruviana,-6.243417,-77.580861,1257871432,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,"Distr. Molinapampa, Bosque de Ocol.",NA,PE,2535,8,2012,PRESERVED_SPECIMEN,MO,Tropicos,100525641,17239,Rainer W. Bussmann;Narel Paniagua Zambrana;Carlos Vega Ocaña,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-77.580861, -6.243417)",TRUE
382863,GBIF_420824,Vargasiella peruviana,-6.2425,-77.580833,1257904861,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vargasiella,SPECIES,C. Schweinf.,Pajonal and low forest outside Molinopampa along road to Rodriguez de Mendoza.,NA,PE,2570,11,2012,PRESERVED_SPECIMEN,MO,Tropicos,100559777,25504,H. van der Werff;Luis Valenzuela G.;Gerry Shareva M.;Augusto Reyes Barrantes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,212012,Vargasiella peruviana,Vargasiella,peruviana,C.Schweinf.,Species,Accepted,NA,262617-2,212012,1,9,"c(-77.580833, -6.2425)",TRUE
