V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
180123,GBIF_124237,Warmingia eugenii,-21.990833,-42.3875,2452939893,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,Fazenda Largo da Batalha,NA,BR,NA,4,2009,PRESERVED_SPECIMEN,Instituto de Botânica,SP,473700,935,"Borges, R; Neder, GP; Freire, LR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-42.3875, -21.990833)",TRUE
253083,GBIF_218569,Warmingia eugenii,-26.783611,-49.398889,2996112067,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,"Próximo a PCH, Ceesan Alto Benedito.",NA,BR,280,5,2013,PRESERVED_SPECIMEN,FURB,FURB,FURB36555,14,"Caetano, J.O.;J.O. Caetano",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-49.398889, -26.783611)",TRUE
253392,GBIF_218894,Warmingia eugenii,-26.1925,-49.047778,2996120620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,NA,NA,BR,576,12,2009,PRESERVED_SPECIMEN,FURB,FURB,FURB02886,922,"Cadorin, T.J.;Uller, H.F.,T.J. Cadorin,H.F. Uller,C.P.L. Oliveira,Oliveira, C.P.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-49.047778, -26.1925)",TRUE
283531,GBIF_264107,Warmingia buchtienii,-16.18888,-67.72694,1261015936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Schltr.,Polo-Polo near Coroico,NA,BO,1100,10,1912,PRESERVED_SPECIMEN,B,Tropicos,3583659,3696,Otto Buchtien,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214162,Warmingia buchtienii,Warmingia,buchtienii,(Schltr.) Schltr. ex Garay & Christenson,Species,Accepted,NA,988862-1,214162,33,7,"c(-67.72694, -16.18888)",TRUE
337296,GBIF_350930,Warmingia eugenii,-23.498055,-51.110278,4953851895,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,"Irere, Fazenda Marilena.",NA,BR,566,7,2020,PRESERVED_SPECIMEN,UFPR,UPCB,108145,11426,"Engels, M.E.; Meyer, T.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-51.110278, -23.498055)",TRUE
351479,GBIF_373367,Warmingia eugenii,-25.68333,-54.45,1259522071,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb. f.,"Parque Nacional Iguazú, área cataratas",NA,AR,NA,12,1990,PRESERVED_SPECIMEN,BAB,Tropicos,2229172,131,* MOREYRA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,1,5,"c(-54.45, -25.68333)",TRUE
385496,GBIF_424727,Warmingia eugenii,-20.75,-42.35,1658342827,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,Mata ciliar.,NA,BR,800,6,1987,PRESERVED_SPECIMEN,JBRJ,RB,RB01370209,32,L.S. Leoni,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-42.35, -20.75)",TRUE
405201,GBIF_457320,Warmingia eugenii,-24.100556,-50.706944,2996633797,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,Rchb.f.,"UHE Mauá, beira do Rio Tibagi",NA,BR,635,12,2011,PRESERVED_SPECIMEN,MBM,MBM,MBM385471,558,"Ariati, V;Ariati, V.,Michelon, C.,Michelon, C",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,0,7,"c(-50.706944, -24.100556)",TRUE
471983,GBIF_550075,Warmingia eugenii,-25.68,-54.45,417091877,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,NA,"Parque Nacional Iguazú, área cataratas",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,BAB,HERB,12798,without-number,"Moreyra, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,7,-1,"c(-54.45, -25.68)",TRUE
472062,GBIF_550229,Warmingia eugenii,-26,-53.98,417091914,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warmingia,SPECIES,NA,"P. P. Urugua-í, Nascents arroyo Tateto",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,SI,HERB,202864,without-number,"Johnson, A. E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214163,Warmingia eugenii,Warmingia,eugenii,Rchb.f.,Species,Accepted,NA,661391-1,214163,7,-1,"c(-53.98, -26)",TRUE
