V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
412011,GBIF_470012,Warreopsis colorata,10.283333,-69.016667,1258563581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(Linden & Rchb. f.) Garay,Sierra de Aroa. Cerro Negro. Primary forest 8 km SW of San Felipe.,NA,VE,1500,4,1980,PRESERVED_SPECIMEN,MO,Tropicos,1344816,9806,Ronald L. Liesner;Ángel C. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214198,Warreopsis colorata,Warreopsis,colorata,(Linden & Rchb.f.) Garay,Species,Accepted,NA,267761-2,214198,1,15,"c(-69.016667, 10.283333)",TRUE
671751,SPECIESLINKS_44519,Warreopsis colorata,10.2833333,-69.0166667,1344816,Plantae,NA,NA,NA,Orchidaceae,Warreopsis,NA,(Linden & Rchb. f.) Garay,Sierra de Aroa. Cerro Negro. Primary forest 8 km SW of San Felipe.,Venezuela,Venezuela,NA,4,1980,PreservedSpecimen,MO,MO,1344816,9806,Ronald L. Liesner|Ángel C. González,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214198,Warreopsis colorata,Warreopsis,colorata,(Linden & Rchb.f.) Garay,Species,Accepted,NA,267761-2,214198,1,15,"c(-69.0166667, 10.2833333)",TRUE
716529,GBIF_55017,Warreopsis parviflora,10.33,-84.83,1258493563,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(L.O. Williams) Garay,Monteverde; upper valley and ridges of Veracruz river valley,NA,CR,1600,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,1280165,4510,William A. Haber;Erick Bello C.;L. Lierheimer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214200,Warreopsis colorata,Warreopsis,colorata,(L.O.Williams) Garay,Species,Accepted,TRUE,267763-2,3296701,1,15,"c(-84.83, 10.33)",TRUE
716946,GBIF_127854,Warreopsis parviflora,10.05,-84.026667,1258483631,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(L.O. Williams) Garay,"Pass between Volcán Irazú and Volcán Barba, beyond San Rafael de Heredia.",NA,CR,NA,4,1969,PRESERVED_SPECIMEN,MO,Tropicos,1271063,1692A,Gerrit Davidse;Richard W. Pohl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214200,Warreopsis colorata,Warreopsis,colorata,(L.O.Williams) Garay,Species,Accepted,TRUE,267763-2,3296701,1,15,"c(-84.026667, 10.05)",TRUE
717700,GBIF_223211,Warreopsis pardina,-0.04,-78.7,1261383304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(Rchb. f.) Garay,Mindo to Nono.,NA,EC,2200,3,1992,PRESERVED_SPECIMEN,SEL,Tropicos,668105,1603,Stig Dalström,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214199,Warreopsis colorata,Warreopsis,colorata,(Rchb.f.) Garay,Species,Accepted,NA,267762-2,3298290,1,9,"c(-78.7, -0.04)",TRUE
717705,GBIF_223287,Warreopsis pardina,-0.2333,-78.816666,4060874209,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(Rchb. f.) Garay,Guajalito,NA,EC,2000,2,1988,PRESERVED_SPECIMEN,NA,Tropicos,679114,3017,Ulf Molau;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214199,Warreopsis colorata,Warreopsis,colorata,(Rchb.f.) Garay,Species,Accepted,NA,267762-2,3298290,1,9,"c(-78.816666, -0.2333)",TRUE
718481,GBIF_326800,Warreopsis pardina,-0.033333,-78.8,1261384158,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(Rchb. f.) Garay,Mindo.,NA,EC,2000,11,1979,PRESERVED_SPECIMEN,SEL,Tropicos,668986,4737,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214199,Warreopsis colorata,Warreopsis,colorata,(Rchb.f.) Garay,Species,Accepted,NA,267762-2,3298290,1,9,"c(-78.8, -0.033333)",TRUE
718828,GBIF_377846,Warreopsis pardina,-0.25,-78.888,1261365229,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(Rchb. f.) Garay,Km 68 on Quito-Santo Domingo road.,NA,EC,2100,9,1980,PRESERVED_SPECIMEN,SEL,Tropicos,649707,10553,Calaway H. Dodson;Pete Morgan;Janet Kuhn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214199,Warreopsis colorata,Warreopsis,colorata,(Rchb.f.) Garay,Species,Accepted,NA,267762-2,3298290,1,9,"c(-78.888, -0.25)",TRUE
718834,GBIF_378306,Warreopsis parviflora,8.85,-82.516667,1258493538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(L.O. Williams) Garay,Bajo Chorro. Rain forest,NA,PA,1828.8,2,1938,PRESERVED_SPECIMEN,AMES,Tropicos,1280164,345,Mary E. Davidson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214200,Warreopsis colorata,Warreopsis,colorata,(L.O.Williams) Garay,Species,Accepted,TRUE,267763-2,3296701,1,15,"c(-82.516667, 8.85)",TRUE
719191,GBIF_443705,Warreopsis parviflora,10.308333,-84.783334,1253612589,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Warreopsis,SPECIES,(L. O. Williams) Garay,La Torre. Camino y sendero hacia Montewood.,NA,CR,1700,2,1992,PRESERVED_SPECIMEN,INBio,Plantae,1572477,without-number,Erick Bello,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,214200,Warreopsis colorata,Warreopsis,colorata,(L.O.Williams) Garay,Species,Accepted,TRUE,267763-2,3296701,2,15,"c(-84.783334, 10.308333)",TRUE
