V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111267,GBIF_15277,Xerorchis amazonica,-7.466667,-73.624167,4526421361,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Angiospermas,"Bacia do Alto Juruá, Rio Moa, Parque Nacional da Serra do Divisor, """"""""Morro Queimado"""""""", encosta.",NA,BR,NA,5,1996,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00230138,1261,M. Silveira;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,11,1,"c(-73.624167, -7.466667)",TRUE
113856,GBIF_18049,Xerorchis amazonica,-3.166667,-60.05,4427187961,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,Estrada Nova de Airão para Manaus,NA,BR,0,1,2002,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027971,2549,"Salles, AEH;Oliveira, MS,Silva, JBF da",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-60.05, -3.166667)",TRUE
124737,GBIF_46172,Xerorchis amazonica,-0.383333,-65.03,1042557240,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,NA,"Rio Negro, Km 7 of old road from Santa Isabel de Rio Negro to airport. Caatinga forest on sandy humous soil.",NA,BR,0,10,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",158104,6677,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,7,-1,"c(-65.03, -0.383333)",TRUE
174972,GBIF_118286,Xerorchis trichorhiza,-13.89333,-68.15638,1259120717,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,(Kraenzl.) Garay,"Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme, media ladera, escasa pendiente, próximo a unas ruinas incas",NA,BO,950,11,2001,PRESERVED_SPECIMEN,LPB,Tropicos,1864813,6432,Manuel J. Macía;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215348,Xerorchis trichorhiza,Xerorchis,trichorhiza,(Kraenzl.) Garay,Species,Accepted,NA,269520-2,215348,0,16,"c(-68.15638, -13.89333)",TRUE
176569,GBIF_119968,Xerorchis amazonica,-0.383333,-65.033333,1931265572,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,"Rio Negro, km 7 of old road from Santa Isabel de Rio Negro to airport",NA,BR,NA,10,1987,PRESERVED_SPECIMEN,NY,NY,02695596,6677,P. J. M. Maas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-65.033333, -0.383333)",TRUE
183691,GBIF_129090,Xerorchis amazonica,-4.91666,-73.66666,1261847797,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,"Distrito de Sapuena; Jenaro Herrera, Río Ucayali. Bosque primario en tierra firme.",NA,PE,160,8,1994,PRESERVED_SPECIMEN,MO,Tropicos,922715,103,Rosa Ortiz;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-73.66666, -4.91666)",TRUE
184652,GBIF_130114,Xerorchis amazonica,-10.166944,-75.321389,4031873461,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,Distrito Palcazú. Iscozacin. Anexo Ataz.,NA,PE,398,10,2013,PRESERVED_SPECIMEN,MO,Tropicos,102918278,26578,Luis Valenzuela G.;Gerry Shareva M.;Eduardo Cruz Ortíz;Eliazar Sebastian;C. Ortiz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-75.321389, -10.166944)",TRUE
186802,GBIF_132428,Xerorchis amazonica,-4.91666,-73.75,1261382937,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,"J. Herrera; varillal and chamisal forest, Río Ucayali. Poorly drained forest on flat sandy soil.",NA,PE,NA,2,1987,PRESERVED_SPECIMEN,MO,Tropicos,667774,56278,Alwyn H. Gentry;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-73.75, -4.91666)",TRUE
198587,GBIF_146467,Xerorchis amazonica,-7.446111,-73.671944,4079374619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,Trilha para o Mirante. Parque Nacional da Serra do Divisor,NA,BR,NA,11,2022,PRESERVED_SPECIMEN,JBRJ,RB,RB01486761,8113,"P.H. Labiak; F. Obermüller, E.C. Oliveira, B.M. Carvalho, A.S. Sousa, I. Lopes, H. Medeiros, M. Landeiro & R.C. Forzza",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-73.671944, -7.446111)",TRUE
246839,GBIF_211120,Xerorchis trichorhiza,3.005121,-77.419468,2013766376,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,(Kraenzl.) Garay,"Río San Juan de Micay, carretera.",NA,CO,60,12,1946,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,39605,5361,O. Haught,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215348,Xerorchis trichorhiza,Xerorchis,trichorhiza,(Kraenzl.) Garay,Species,Accepted,NA,269520-2,215348,0,16,"c(-77.419468, 3.005121)",TRUE
290332,GBIF_287755,Xerorchis amazonica,-4.83333,-73.75,1261393660,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xerorchis,SPECIES,Schltr.,Saquena. Jenaro Herrera. Bosque primario.,NA,PE,170,9,1987,PRESERVED_SPECIMEN,MO,Tropicos,678164,9580,Rodolfo Vásquez;Nestor Jaramillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215347,Xerorchis amazonica,Xerorchis,amazonica,Schltr.,Species,Accepted,NA,269519-2,215347,0,7,"c(-73.75, -4.83333)",TRUE
