V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114895,GBIF_19107,Xylobium foveatum,-6.272834,-76.773397,1929779338,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,(Lindl.) G.Nicholson,Al E de San Juan de Pacayzapa (carretera a Moyobamba); Alonso de Alvarado.,NA,PE,900,4,1973,PRESERVED_SPECIMEN,NY,NY,20858,5986,J. M. Schunke-Vigo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,0,20,"c(-76.773397, -6.272834)",TRUE
114977,GBIF_19193,Xylobium palmifolium,19.0583,-70.57,1931227297,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,(Sw.) Benth. ex Fawc.,"Cordillera Central: en el Valle lateral del Arroyo La Sal, sureste del poblado de La Sal, entre Loma La Sal y Loma La Golondrina.",NA,DO,NA,4,1982,PRESERVED_SPECIMEN,NY,NY,32876,20028,T. A. Zanoni,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215407,Xylobium palmifolium,Xylobium,palmifolium,(Sw.) Fawc.,Species,Accepted,NA,661475-1,215407,10,6,"c(-70.57, 19.0583)",TRUE
124569,GBIF_45995,Xylobium variegatum,2.416667,-60.18,1042601415,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,"Serra da Lua, 10 Km SE of Serra da Lua. By stream.",NA,BR,0,1,1969,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",26479,9343,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215427,Xylobium variegatum,Xylobium,variegatum,(Ruiz & Pav.) Garay & Dunst.,Species,Accepted,NA,269688-2,215427,28,-1,"c(-60.18, 2.416667)",TRUE
127529,GBIF_51724,Xylobium foveatum,3.62348,-53.20925,4565160411,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2006,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,19,1,"c(-53.20925, 3.62348)",TRUE
127539,GBIF_51735,Xylobium foveatum,3.62348,-53.20925,4565160420,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,19,1,"c(-53.20925, 3.62348)",TRUE
127573,GBIF_51786,Xylobium undulatum,3.62348,-53.20925,4565160480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,VARIETY,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215425,Xylobium undulatum,Xylobium,undulatum,(Ruiz & Pav.) Rolfe,Species,Accepted,NA,269686-2,215425,19,-1,"c(-53.20925, 3.62348)",TRUE
127606,GBIF_51837,Xylobium foveatum,3.62348,-53.20925,4565160532,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,19,1,"c(-53.20925, 3.62348)",TRUE
127617,GBIF_51854,Xylobium foveatum,3.62348,-53.20925,4565160550,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,19,1,"c(-53.20925, 3.62348)",TRUE
127620,GBIF_51857,Xylobium foveatum,3.62348,-53.20925,4565160554,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Joly Armelle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215394,Xylobium foveatum,Xylobium,foveatum,(Lindl.) G.Nicholson,Species,Accepted,NA,269660-2,215394,19,1,"c(-53.20925, 3.62348)",TRUE
127632,GBIF_51876,Xylobium undulatum,3.62348,-53.20925,4565160576,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Xylobium,VARIETY,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2018,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215425,Xylobium undulatum,Xylobium,undulatum,(Ruiz & Pav.) Rolfe,Species,Accepted,NA,269686-2,215425,19,-1,"c(-53.20925, 3.62348)",TRUE
