V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
147483,GBIF_77974,Yoania prainii,29.33,95.33,4044186937,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,NA,NA,NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,KUN,NA,434212,without-number,蔡希陶,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215475,Yoania prainii,Yoania,prainii,King & Pantl.,Species,Accepted,NA,661498-1,215475,13,-1,"c(95.33, 29.33)",TRUE
170403,GBIF_112374,Yoania prainii,31.35,119.82,4044169468,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,NA,NA,NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,KUN,NA,434443,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215475,Yoania prainii,Yoania,prainii,King & Pantl.,Species,Accepted,NA,661498-1,215475,13,-1,"c(119.82, 31.35)",TRUE
210718,GBIF_163622,Yoania japonica,36.816667,137.683333,1830230574,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Iburiyama,NA,JP,NA,8,1979,PRESERVED_SPECIMEN,TOYA,Sp,95578,1369,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.683333, 36.816667)",TRUE
210800,GBIF_163709,Yoania japonica,36.583333,137.45,1830185117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Otsujiyama,NA,JP,800,6,1991,PRESERVED_SPECIMEN,TOYA,Sp,51497,1260,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.45, 36.583333)",TRUE
210827,GBIF_163739,Yoania japonica,36.333333,137.016667,1830174298,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Mizunashi,NA,JP,1000,7,1951,PRESERVED_SPECIMEN,TOYA,Sp,3926,1428,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.016667, 36.333333)",TRUE
210864,GBIF_163786,Yoania japonica,36.4,137.1,1830156484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Shirokimine,NA,JP,1375,7,1984,PRESERVED_SPECIMEN,TOYA,Sp,16721,1521,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.1, 36.4)",TRUE
210874,GBIF_163799,Yoania japonica,36.416667,137.433333,1830192689,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Ariminehigashidani,NA,JP,1200,6,1998,PRESERVED_SPECIMEN,TOYA,Sp,65057,1207,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.433333, 36.416667)",TRUE
210912,GBIF_163846,Yoania japonica,36.816667,137.683333,1830161197,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Iburiyama,NA,JP,1300,8,1989,PRESERVED_SPECIMEN,TOYA,Sp,21793,1521,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.683333, 36.816667)",TRUE
210975,GBIF_163934,Yoania japonica,40.67619,140.86861,1830214743,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Hakkodasan,NA,JP,NA,7,1956,PRESERVED_SPECIMEN,TOYA,Sp,14276,1644,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(140.86861, 40.67619)",TRUE
211024,GBIF_163999,Yoania japonica,36.75,137.533333,1830182243,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Yoania,SPECIES,Maxim.,Ikejirinoike,NA,JP,1140,7,1978,PRESERVED_SPECIMEN,TOYA,Sp,48738,1577,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215472,Yoania japonica,Yoania,japonica,Maxim.,Species,Accepted,NA,661497-1,215472,0,6,"c(137.533333, 36.75)",TRUE
