V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108036,GBIF_11289,Ypsilopus amaniensis,-1.35,34.86667,2515625784,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,(Kraenzl.) Summerh.,"Kenya, Soit Ololol Esc., Mara R. Camp, ca 15km SW.",NA,KE,NA,10,2008,PRESERVED_SPECIMEN,NA,Botany,WAG0306985,"Damen, THJ 328",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536237,Ypsilopus amaniensis,Ypsilopus,amaniensis,(Kraenzl.) D'haijère & Stévart,Species,Accepted,NA,77203323-1,536237,18,11,"c(34.86667, -1.35)",TRUE
122414,GBIF_43699,Ypsilopus schliebenii,-8.81667,36.73333,2517600418,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,(Mansf.) P.J.Cribb,T6: Mahenge District,NA,TZ,NA,1,1979,PRESERVED_SPECIMEN,NA,Botany,WAG0108896,"Cribb, PJ; Grey-Wilson, C; Mwasumbi, LB 11087",Cribb PJ; Grey-Wilson C; Mwasumbi LB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536239,Ypsilopus schliebenii,Ypsilopus,schliebenii,(Mansf.) D'haijère & Stévart,Species,Accepted,NA,77203324-1,536239,18,9,"c(36.73333, -8.81667)",TRUE
134752,GBIF_60059,Ypsilopus amaniensis,-3.38333,36.78333,2515693280,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,(Kraenzl.) Summerh.,"Lake Daluti, old crater lake, few km's W of Tenguru and c. 15km E of Arusha. (formerly Daluti was an English club).",NA,TZ,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1140071,"Laan, FM van der; Wubben, JM 1159",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536237,Ypsilopus amaniensis,Ypsilopus,amaniensis,(Kraenzl.) D'haijère & Stévart,Species,Accepted,NA,77203323-1,536237,18,11,"c(36.78333, -3.38333)",TRUE
135573,GBIF_60960,Ypsilopus tanneri,-4.66667,38.21667,2517198838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J.Cribb,near 'Skyline'in Shume forest.,NA,TZ,NA,NA,1995,PRESERVED_SPECIMEN,NA,Botany,WAG0137878,"Musampa-Nseya, A s.n.",Musampa-Nseya A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536236,Ypsilopus tanneri,Ypsilopus,tanneri,(P.J.Cribb) D'haijère & Stévart,Species,Accepted,NA,77203320-1,536236,22,9,"c(38.21667, -4.66667)",TRUE
159904,GBIF_99785,Ypsilopus viridiflorus,-3.23333,36.75,2517705977,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J.Cribb & J.L.Stewart,Mt. Meru.,NA,TZ,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1141024,"Laan, FM van der; Wubben, JM 1171",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215490,Ypsilopus viridiflorus,Ypsilopus,viridiflorus,P.J.Cribb & J.Stewart,Species,Accepted,NA,907292-1,215490,2,13,"c(36.75, -3.23333)",TRUE
159905,GBIF_99786,Ypsilopus citrinus,-9.7,33.55,2515839324,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J.Cribb,"Nyika plateau, Mwenegamba.",NA,MW,NA,1,1976,PRESERVED_SPECIMEN,NA,Botany,WAG.1143550,"Phillips, E 896",Phillips E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536234,Ypsilopus citrinus,Ypsilopus,citrinus,(P.J.Cribb) D'haijère & Stévart,Species,Accepted,NA,77203317-1,536234,22,9,"c(33.55, -9.7)",TRUE
160930,GBIF_101005,Ypsilopus tanneri,-4.71667,38.23333,2515700830,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J.Cribb,"W- Usambaras, near 'Skyline' in Shume forest.",NA,TZ,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1140947,"Laan, FM van der; Wubben, JM 1181",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536236,Ypsilopus tanneri,Ypsilopus,tanneri,(P.J.Cribb) D'haijère & Stévart,Species,Accepted,NA,77203320-1,536236,22,9,"c(38.23333, -4.71667)",TRUE
162169,GBIF_102402,Ypsilopus tricuspis,-3.266667,30.433333,1840885280,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,NA,Kayongozi - Ruyigi,NA,BI,NA,3,1984,PRESERVED_SPECIMEN,MeiseBG,BR,BR6102000182855,91,Arbonnier M.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536233,Ypsilopus tricuspis,Ypsilopus,tricuspis,(Bolus) D'haijère & Stévart,Species,Accepted,NA,77203321-1,536233,27,-1,"c(30.433333, -3.266667)",TRUE
172704,GBIF_115900,Ypsilopus tanneri,-3.83333,38.66666,4061637443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J. Cribb,Rukanga peak,NA,KE,1480,11,1994,PRESERVED_SPECIMEN,NA,Tropicos,3448054,4159,W. R. Q. Luke;P. A. Luke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536236,Ypsilopus tanneri,Ypsilopus,tanneri,(P.J.Cribb) D'haijère & Stévart,Species,Accepted,NA,77203320-1,536236,23,5,"c(38.66666, -3.83333)",TRUE
172851,GBIF_116050,Ypsilopus viridiflorus,-3.133333,37.183333,1257681706,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ypsilopus,SPECIES,P.J. Cribb & J. Stewart,Forest above Woongo.,NA,TZ,2100,3,1998,PRESERVED_SPECIMEN,UBT,Tropicos,100332308,2198,A. Hemp,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,215490,Ypsilopus viridiflorus,Ypsilopus,viridiflorus,P.J.Cribb & J.Stewart,Species,Accepted,NA,907292-1,215490,2,10,"c(37.183333, -3.133333)",TRUE
