V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5560,ALA_6597,Zeuxine oblonga,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,8,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 679214.1,18952,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.3, -16.5)",TRUE
5598,ALA_6643,Zeuxine oblonga,-15.7,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,9,1980,PRESERVED_SPECIMEN,CANB,CANB,CANB 592248.1,1794,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.3, -15.7)",TRUE
5865,ALA_6976,Zeuxine oblonga,-28.866667,153.566667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,c. 20 km S of Ballina.,Australia,AU,NA,7,1985,PRESERVED_SPECIMEN,CANB,CANB,CBG 8502511.1,1842B,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(153.566667, -28.866667)",TRUE
6954,ALA_8359,Zeuxine oblonga,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,9,1988,PRESERVED_SPECIMEN,CANB,CANB,CANB 649996.1,s.n.,"D'Aubert, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.3, -16.5)",TRUE
7932,ALA_9651,Zeuxine oblonga,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,9,2006,PRESERVED_SPECIMEN,CANB,CANB,CANB 816605.1,6923,"Jago, R.L.|Keith, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.3, -16.5)",TRUE
8580,ALA_10533,Zeuxine oblonga,-13,143.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,9,1976,PRESERVED_SPECIMEN,CANB,CANB,CBG 67776.1,443,"Wrigley, J.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(143.4, -13)",TRUE
11059,ALA_14009,Zeuxine oblonga,-13.9,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,5,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 667069.1,18888,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(143.3, -13.9)",TRUE
12545,ALA_16026,Zeuxine oblonga,-16.6,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,10,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8806601.1,DLJ2938,"Harvey, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.3, -16.6)",TRUE
14992,ALA_19523,Zeuxine oblonga,-15.8,145.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,9,1948,PRESERVED_SPECIMEN,CANB,CANB,CANB 186353.1,20183,"Brass, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(145.2, -15.8)",TRUE
15511,ALA_20321,Zeuxine oblonga,-21.1,148.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,10,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913784.1,DLJ5253,"Pearson, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(148.5, -21.1)",TRUE
17619,ALA_23621,Zeuxine oblonga,-28.533333,153.55,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,Brunswick Heads.,Australia,AU,NA,9,1984,PRESERVED_SPECIMEN,CANB,CANB,CANB 668000.1,1630,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(153.55, -28.533333)",TRUE
18051,ALA_24320,Zeuxine oblonga,-26.8,153.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,NA,Australia,AU,NA,10,1987,PRESERVED_SPECIMEN,CANB,CANB,CANB 668764.1,s.n.,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(153.1, -26.8)",TRUE
18358,ALA_24821,Zeuxine oblonga,-28.866667,153.483333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Zeuxine,species,R.S.Rogers & C.T.White,"5 miles [8 km] S of Ballina, beside Pacific Highway.",Australia,AU,NA,9,1984,PRESERVED_SPECIMEN,CANB,CANB,CANB 668003.2,1633,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,215717,Zeuxine oblonga,Zeuxine,oblonga,R.S.Rogers & C.T.White,Species,Accepted,NA,661594-1,215717,0,22,"c(153.483333, -28.866667)",TRUE
