V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111300,GBIF_15313,Zygopetalum maculatum,-22.3675,-44.959444,4526424298,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,"Planalto, entre o Registro e a Casa de Pedra .",NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00762279,125,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,11,1,"c(-44.959444, -22.3675)",TRUE
111309,GBIF_15322,Zygopetalum maxillare,-22.313333,-44.363056,4526424573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,Parcela 5. Floresta Ombrófila Densa.,NA,BR,NA,5,2015,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01097860,1304,L.J.T. Cardoso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216093,Zygopetalum maxillare,Zygopetalum,maxillare,G.Lodd.,Species,Accepted,NA,661747-1,216093,11,1,"c(-44.363056, -22.313333)",TRUE
111310,GBIF_15323,Zygopetalum maculatum,-22.313333,-44.363056,4526424631,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,Parcela 5. Floresta Ombrófila Densa.,NA,BR,NA,5,2015,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01097883,1326,L.J.T. Cardoso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,11,1,"c(-44.363056, -22.313333)",TRUE
111374,GBIF_15389,Zygopetalum maculatum,-21.113889,-41.023056,4526428740,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,"Pedra Azul, Pedra das Flores, cume. Floresta Ombrófila Densa, Aforamento rochoso com Mata Nebular. Parque Estadual Pedra Azul",NA,BR,NA,7,2006,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00562079,2232,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,11,1,"c(-41.023056, -21.113889)",TRUE
111417,GBIF_15436,Zygopetalum maculatum,-20.516111,-41.083611,4526432327,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,Trilha para as piscinas. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00528140,4783,"A. P. Fontana;P.H. Labiak,R. C. Forzza, C.N. Fraga, L. Kollmann",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,11,1,"c(-41.083611, -20.516111)",TRUE
111456,GBIF_15477,Zygopetalum maxillare,-22.429167,-44.595555,4526434962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Angiospermas,Trilha para os Três Picos.,NA,BR,NA,4,2015,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00974737,531,D.R.Gonzaga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216093,Zygopetalum maxillare,Zygopetalum,maxillare,G.Lodd.,Species,Accepted,NA,661747-1,216093,11,1,"c(-44.595555, -22.429167)",TRUE
113691,GBIF_17883,Zygopetalum maculatum,-20.159444,-43.536111,4427183088,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,(Kunth) Garay,Complexo Germano,NA,BR,688,4,2018,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00025114,s.n.,"Vidal, CV",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,0,13,"c(-43.536111, -20.159444)",TRUE
114897,GBIF_19109,Zygopetalum maculatum,-13.25,-41.9,1929795857,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Hook.,Campo de Ouro Fino (baixo),NA,BR,NA,1,1992,PRESERVED_SPECIMEN,NY,NY,687076,50819,R. M. Harley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,13,-1,"c(-41.9, -13.25)",TRUE
140761,GBIF_66499,Zygopetalum maculatum,-25.6,-49.71,2618400732,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,(Kunth) Garay,Plantae Brasilienses. Paraná: Serrinha.,NA,BR,NA,11,1908,PRESERVED_SPECIMEN,S,VascularPlants,S16-42612,7196,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216088,Zygopetalum maculatum,Zygopetalum,maculatum,(Kunth) Garay,Species,Accepted,NA,661743-1,216088,0,13,"c(-49.71, -25.6)",TRUE
140770,GBIF_66508,Zygopetalum maxillare,-25.6,-49.71,2618585995,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygopetalum,SPECIES,Lodd.,Plantae Brasilienses. Paraná: Serrinha.,NA,BR,NA,4,1911,PRESERVED_SPECIMEN,S,VascularPlants,S17-16955,without-number,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216093,Zygopetalum maxillare,Zygopetalum,maxillare,G.Lodd.,Species,Accepted,NA,661747-1,216093,2,5,"c(-49.71, -25.6)",TRUE
