,scientific_name,review,database_id,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,keep,resolved_match_type
1,Acianthera anthoxantha,deleted,SPECIESLINKS_29196,-14.7889,-39.0494,169015,Plantae,NA,NA,NA,Orchidaceae,Acianthera,NA,NA,Centro de Pesquisas do Cacau - CEPEC,Brasil,Brasil,NA,2,1967,PreservedSpecimen,IBt,SP,169015,3423,"Belém, RP; Pinheiro, RS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),TRUE,0.773,5,217573,Acianthera ophiantha,(Cogn.) Pridgeon & M.W.Chase,Species,Synonym,NA,1053098-2,472005,28,-1,0,Fuzzy match rejected
2,Acianthera convexifolia,deleted,SPECIESLINKS_121773,-22.504999,-43.1786,25535,Plantae,NA,NA,NA,Orchidaceae,Acianthera,NA,NA,NA,Brasil,Brasil,NA,10,1928,PreservedSpecimen,IBt,SP,25535,179,"Spannagel, C",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.826,4,217467,Acianthera cordatifolia,(Dod) Pridgeon & M.W.Chase,Species,Accepted,NA,1066673-2,217467,26,-1,0,Fuzzy match rejected
3,Acianthera welswindischiae,accepted,SPECIESLINKS_111715,-12.7719,-39.5233,39007,Plantae,NA,NA,NA,Orchidaceae,Acianthera,NA,(Pabst) Pridgeon & M.W.Chase,"Serra da Jiboia, Morro da Pioneira Folha Cartográfica SD.24-V-B",Brasil,Brasil,NA,3,1998,PreservedSpecimen,IBGE,HRB,39007,33,C. Azevedo; R.M.O. Alves,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.867,4,217634,Acianthera welsiae-windischiae,(Pabst) Pridgeon & M.W.Chase,Species,Accepted,NA,20003694-1,217634,0,28,0,Fuzzy match rejected
4,Acronia trachysepala,deleted,SPECIESLINKS_45393,-3.58,-79.68,101597146,Plantae,NA,NA,NA,Orchidaceae,Acronia,NA,(Kraenzl.) Luer,Epiphytic in forest remnant along the old road west of Pacha.,Equador,Equador,NA,5,1988,PreservedSpecimen,MO,MO,101597146,13618,Carl A. Luer|Alexander Hirtz|W. Flores|Ángel M. Andreetta|Walter Teague,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.81,4,2453683,Veronica brachysepala,F.W.Schultz,Species,Synonym,NA,811719-1,2461969,14,1,0,Fuzzy match rejected
5,Aerides crassifolium,accepted,GBIF_643046,19.35,98.91667,2513790157,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aerides,SPECIES,C.S.P.Parish & Rchb.f.,"Thailand, Province: Chiang Mai, District: Chiang Dao, Doi Chiang Dao Animal Sanctuary, north side, Sop Huay Pa Dang-Sop Huay Na Lao Forest Station.",NA,TH,NA,5,1990,PRESERVED_SPECIMEN,NA,Botany,L.1491322,"Maxwell, JF 90- 476",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.9,2,4050,Aerides crassifolia,C.S.P.Parish ex Burb.,Species,Accepted,NA,615216-1,4050,7,13,0,Fuzzy match rejected
6,Aerides illustre,accepted,GBIF_452676,41.81027,-72.25583,4955518894,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Aerides,SPECIES,NA,University of Connecticut Ecology and Evolutionary Biology Greenhouses,NA,US,NA,4,1984,PRESERVED_SPECIMEN,NA,NA,CONN00019771,914,"Christenson, Eric A.;",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.882,2,4084,Aerides maculosa,Lindl.,Species,Accepted,NA,615251-1,4115,7,-1,0,Fuzzy match rejected
7,Anacheilium vespum,accepted,SPECIESLINKS_90326,-16.9569,-51.8103,1280376,Plantae,Magnoliophyta,NA,NA,Orchidaceae,Anacheilium,NA,"(Vell.) Pabst, Moutinho & A.V.Pinto","Serra do Caiapó, 48 km. south of Caiapônia.",Brasil,Brasil,NA,10,1964,PreservedSpecimen,NY,NY,1280376,59641,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.889,2,8648,Prosthechea vespa,(Vell.) W.E.Higgins,Species,Accepted,TRUE,12262-2,165897,0,35,0,Fuzzy match rejected
8,Anathallis depauperata,deleted,SPECIESLINKS_28998,-30.0331,-51.23,50539,Plantae,NA,NA,NA,Orchidaceae,Anathallis,NA,NA,Morro da Glória,Brasil,Brasil,NA,10,1932,PreservedSpecimen,IBt,SP,50539,s.n.,"Orth, C",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.909,2,3088802,Anaphalis depauperata,Boriss.,Species,Accepted,NA,176403-1,3088802,7,-1,0,Fuzzy match rejected
9,Anathallis grandiflora,deleted,SPECIESLINKS_120589,-22.2819,-42.531101,401872,Plantae,NA,NA,NA,Orchidaceae,Anathallis,NA,Lindl.,"Lumiar. Local distante ca. 15 km de Lumiar, denominado Baixada Fluminense",Brasil,Brasil,NA,11,2004,PreservedSpecimen,IBt,SP,401872,s.n.,"Barros, F",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.909,2,2636056,Anagallis grandiflora,Andrews,Species,Synonym,NA,700077-1,3265509,6,2,0,Fuzzy match rejected
10,Anathallis pubescens,deleted,SPECIESLINKS_27704,-31.7633,-52.483898,19215,Plantae,NA,NA,NA,Orchidaceae,Anathallis,NA,(Lindl.) Pridgeon & M.W.Chase,Horto Botânico Ir. Teodoro Luiz.,Brasil,Brasil,NA,1,1987,PreservedSpecimen,UFSC,FLOR,19215,608,"Jarenkow, J.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (phonetic),TRUE,0.9,2,2642056,Anthyllis pubescens,Stokes,Species,Synonym,NA,474752-1,3241418,27,1,0,Fuzzy match rejected
11,Anathallis recurva,deleted,SPECIESLINKS_120588,-22.2819,-42.531101,401870,Plantae,NA,NA,NA,Orchidaceae,Anathallis,NA,(Lindl.) Pridgeon & M.W.Chase,"Lumiar. Arredores da cidade, local denominado Pedra Riscada, propriedade do Sr. Altair Schmidt",Brasil,Brasil,NA,2,2006,PreservedSpecimen,IBt,SP,401870,s.n.,"Barros, F",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.833,3,8727,Anathallis secunda,Barb.Rodr.,Species,Synonym,NA,615791-1,493214,26,1,0,Fuzzy match rejected
12,Ancistrorhynchus obovata,accepted,RAINBIO_429,2.4,10.4,29907,NA,Magnoliophyta,NA,Asparagales,Orchidaceae,Ancistrorhynchus,ESP,NA,NA,Cameroon,CMR,NA,NA,without-year,PreservedSpecimen,Orchids,NA,VD13212,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.833,4,8803,Ancistrorhynchus ovatus,Summerh.,Species,Accepted,NA,615804-1,8803,8,-1,0,Fuzzy match rejected
13,Angraecum nzoanum,deleted,GBIF_761116,7.702481,-8.346556,1671690639,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Angraecum,SPECIES,NA,Pays des Guerzés. Entre Lola et N'Zo,NA,GN,544,3,1909,PRESERVED_SPECIMEN,MNHN,P,P00383537,without-number,"Chevalier, A.J.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.882,2,9564,Angraecum nanum,Frapp. ex Cordem.,Species,Synonym,NA,616293-1,9592,17,-1,0,Fuzzy match rejected
14,Arundina bambusaefolia,deleted,SPECIESLINKS_21095,-22.9,-47.06,5864,Plantae,NA,NA,NA,Orchidaceae,Arundina,NA,NA,Coletado no viveiro de mudas Flora Novaes.,Brasil,Brasil,NA,2,1995,PreservedSpecimen,JBP,HPL,5864,1953,H. Lorenzi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (phonetic),FALSE,0.909,2,16428,Arundina bambusifolia,Lindl.,Species,Illegitimate,TRUE,617124-1,16436,6,-1,0,Fuzzy match rejected
15,Auliza campestris,deleted,SPECIESLINKS_28819,-19.920799,-43.937801,175115,Plantae,NA,NA,NA,Orchidaceae,Auliza,NA,(Lindl.) Brieger,"Jardim Nossa Senhora das Graças, estrada para Ouro Preto , 40 km SE de Belo Horizonte. Cultivada na Seção do Orquidário do Instituto de Botânica, florescendo em 24-IX-1968",Brasil,Brasil,NA,7,1965,PreservedSpecimen,IBt,SP,175115,s.n.,"Correa Gomes Jr, J",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.824,3,360143,Acioa campestris,Engl.,Species,Synonym,TRUE,720158-1,368508,13,2,0,Fuzzy match rejected
16,Baptistonia vanessaiana,deleted,SPECIESLINKS_121908,-22.950001,-46.540001,512328,Plantae,NA,NA,NA,Orchidaceae,Baptistonia,NA,V.P.Castro,NA,Brasil,Brasil,NA,NA,without-year,PreservedSpecimen,IBt,SP,512328,242,"Castro, VP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.783,5,221186,Baptistonia cassolana,(V.P.Castro & Campacci) Chiron & V.P.Castro,Species,Synonym,NA,60433886-2,457755,33,10,0,Fuzzy match rejected
17,Bifrenaria tyriantha,accepted,GBIF_713974,-18.0833,-43.7833,1931060073,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bifrenaria,SPECIES,(Rchb.f.) Loudon,"Serra do Espinhaço, ca. 3 km N. of São João da Chapada",NA,BR,1200,3,1970,PRESERVED_SPECIMEN,NY,NY,910895,28304,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Fuzzy (edit distance),FALSE,0.909,2,22094,Bifrenaria tyrianthina,(Lodd. ex Loudon) Rchb.f.,Species,Accepted,NA,617570-1,22094,16,7,0,Fuzzy match rejected
