"tax_sp_level","species","family","a_habit"
"Gossypium hirsutum","Gossypium hirsutum","Malvaceae","shrub"
"Capsicum annuum","Capsicum annuum","Solanaceae","shrub"
"Antidesma venosum","Antidesma venosum","Phyllanthaceae","shrub"
"Talinum fruticosum","Talinum fruticosum","Talinaceae","herb"
"Lantana camara","Lantana camara","Verbenaceae","shrub"
"Ricinus communis","Ricinus communis","Euphorbiaceae","herb"
"Terminalia catappa","Terminalia catappa","Combretaceae","tree"
"Chromolaena odorata","Chromolaena odorata","Asteraceae","herb"
"Portulaca grandiflora","Portulaca grandiflora","Portulacaceae","herb"
"Bixa orellana","Bixa orellana","Bixaceae","shrub"
"Justicia secunda","Justicia secunda","Acanthaceae","shrub"
"Mimosa pudica","Mimosa pudica","Fabaceae","herb"
"Commelina diffusa","Commelina diffusa subsp. diffusa","Commelinaceae","herb"
"Eichhornia crassipes","Eichhornia crassipes","Pontederiaceae","herb"
"Bacopa egensis","Bacopa egensis","Plantaginaceae",""
"Hura crepitans","Hura crepitans","Euphorbiaceae","tree"
"Crotalaria spectabilis","Crotalaria spectabilis","Fabaceae","shrub"
"Pueraria phaseoloides","Pueraria phaseoloides","Fabaceae","climber"
"Stylosanthes guianensis","Stylosanthes guianensis","Fabaceae","herb"
"Ruellia tuberosa","Ruellia tuberosa","Acanthaceae","herb"
"Gliricidia sepium","Gliricidia sepium","Fabaceae","tree"
"Sapindus mukorossi","Sapindus mukorossi","Sapindaceae",""
"Trema tomentosa","Trema tomentosa","Cannabaceae","tree"
"Cucurbita pepo","Cucurbita pepo","Cucurbitaceae","herb"
"Spermacoce latifolia","Spermacoce latifolia","Rubiaceae","herb"
"Gardenia jasminoides","Gardenia jasminoides","Rubiaceae","shrub"
"Ixora coccinea","Ixora coccinea","Rubiaceae","shrub"
"Panicum philadelphicum","Panicum philadelphicum","Poaceae","herb"
"Pachira glabra","Pachira glabra","Malvaceae","tree"
"Leucaena leucocephala","Leucaena leucocephala","Fabaceae","tree"
"Averrhoa carambola","Averrhoa carambola","Oxalidaceae","tree"
"Graptophyllum pictum","Graptophyllum pictum","Acanthaceae","shrub"
"Cecropia concolor","Cecropia concolor","Urticaceae","tree"
"Bellucia pentamera","Bellucia pentamera","Melastomataceae","tree"
"Cinchona calisaya","Cinchona calisaya","Rubiaceae","tree"
"Cicer arietinum","Cicer arietinum","Fabaceae","herb"
"Commelina diffusa","Commelina diffusa","Commelinaceae","herb"
"Psychotria carthagenensis","Psychotria carthagenensis","Rubiaceae","shrub"
"Anethum graveolens","Anethum graveolens","Apiaceae","herb"
"Haplopteris scolopendrina","Haplopteris scolopendrina","Pteridaceae","epiphyte"
"Corynostylis arborea","Corynostylis arborea","Violaceae","liana"
"Trapa natans","Trapa natans","Lythraceae",""
"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","Asteraceae","herb"
"Cucumis sativus","Cucumis sativus","Cucurbitaceae","climber"
"Sonneratia alba","Sonneratia alba","Lythraceae","tree"
"Anthriscus sylvestris","Anthriscus sylvestris var. sylvestris","Apiaceae","herb"
"Adiantum macrophyllum","Adiantum macrophyllum","Dennstaedtiaceae",""
"Exallage auricularia","Exallage auricularia","Rubiaceae","herb"
"Ochroma pyramidale","Ochroma pyramidale","Malvaceae","tree"
"Phalaris caesia","Phalaris caesia","Poaceae","herb"
"Senna sophera","Senna sophera","Fabaceae","shrub"
"Bolbidium pumilum","Bolbidium pumilum","Orchidaceae",""
"Richardia brasiliensis","Richardia brasiliensis","Rubiaceae","herb"
"Oryza eichingeri","Oryza eichingeri","Poaceae","herb"
"Vanilla planifolia","Vanilla planifolia","Orchidaceae","herb"
"Senna alata","Senna alata","Fabaceae","shrub"
"Solanum torvum","Solanum torvum","Solanaceae","shrub"
"Nypa fruticans","Nypa fruticans","Arecaceae",""
"Stachytarpheta cayennensis","Stachytarpheta cayennensis","Verbenaceae","herb"
"Pycnospora lutescens","Pycnospora lutescens","Fabaceae","herb"
"Caesalpinia pulcherrima","Caesalpinia pulcherrima","Fabaceae","shrub"
"Alisma plantago-aquatica","Alisma plantago-aquatica","Alismataceae","herb"
"Tecoma stans","Tecoma stans","Bignoniaceae","shrub"
"Senna spectabilis","Senna spectabilis","Fabaceae","tree"
"Caraipa grandifolia","Caraipa grandifolia","Calophyllaceae","tree"
"Cleome aculeata","Cleome aculeata","Cleomaceae","herb"
"Thespesia populnea","Thespesia populnea","Malvaceae","tree"
"Richardia scabra","Richardia scabra","Rubiaceae","herb"
"Epidendrum ibaguense","Epidendrum ibaguense","Orchidaceae",""
"Luffa acutangula","Luffa acutangula","Cucurbitaceae","vine"
"Hunteria zeylanica","Hunteria zeylanica","Apocynaceae","tree"
"Azolla filiculoides","Azolla filiculoides","Salviniaceae",""
"Melia azedarach","Melia azedarach","Meliaceae","tree"
"Juncus effusus","Juncus effusus","Juncaceae","herb"
"Ipomoea polymorpha","Ipomoea polymorpha","Convolvulaceae","herb"
"Calea urticifolia","Calea urticifolia","Asteraceae",""
"Uncaria gambir","Uncaria gambir","Rubiaceae","liana"
"Triplophyllum funestum","Triplophyllum funestum","Polypodiaceae","herb"
"Cassia tomentosa","Cassia tomentosa","Fabaceae",""
"Cucumis melo","Cucumis melo subsp. agrestis","Cucurbitaceae","herb"
"Cyperus eleusinoides","Cyperus eleusinoides","Cyperaceae","herb"
"Chloris radiata","Chloris radiata","Poaceae","herb"
"Hamelia patens","Hamelia patens","Rubiaceae","tree"
"Senna hirsuta","Senna hirsuta","Fabaceae","herb"
"Cyclospermum leptophyllum","Cyclospermum leptophyllum","Apiaceae","herb"
"Xanthium strumarium","Xanthium strumarium","Asteraceae","herb"
"Senna obtusifolia","Senna obtusifolia","Fabaceae","herb"
"Alantsilodendron pilosum","Alantsilodendron pilosum","Fabaceae",""
"Paspalum plicatulum","Paspalum plicatulum","Poaceae","herb"
"Aureliana velutina","Aureliana velutina","Solanaceae",""
"Inga edulis","Inga edulis","Fabaceae","tree"
"Polygala transvaalensis","Polygala transvaalensis subsp. kagerensis","Polygalaceae",""
"Clitoria ternatea","Clitoria ternatea var. angustifolia","Fabaceae","climber"
"Senna siamea","Senna siamea","Fabaceae","tree"
"Solanum indicum","Solanum indicum","Solanaceae","shrub"
"Diospyros panamensis","Diospyros panamensis","Ebenaceae",""
"Stigmaphyllon bannisterioides","Stigmaphyllon bannisterioides","Malpighiaceae",""
"Pennisetum villosum","Pennisetum villosum","Poaceae","herb"
"Daucus carota","Daucus carota","Apiaceae","herb"
"Microstegium vagans","Microstegium vagans","Poaceae","herb"
"Azadirachta indica","Azadirachta indica","Meliaceae","tree"
"Schizachyrium maclaudii","Schizachyrium maclaudii","Poaceae","herb"
"Senna floribunda","Senna floribunda","Fabaceae",""
"Centella asiatica","Centella asiatica","Apiaceae","herb"
"Psychotria costivenia","Psychotria costivenia","Rubiaceae",""
"Ixora chinensis","Ixora chinensis","Rubiaceae",""
"Cestrum nocturnum","Cestrum nocturnum","Solanaceae","liana"
"Schwenckia americana","Schwenckia americana","Solanaceae","herb"
"Cajanus cajan","Cajanus cajan","Fabaceae","shrub"
"Punica granatum","Punica granatum","Lythraceae","shrub"
"Spigelia anthelmia","Spigelia anthelmia","Loganiaceae","herb"
"Sesbania sesban","Sesbania sesban subsp. sesban","Fabaceae","shrub"
"Phyllanthus arachnodes","Phyllanthus arachnodes","Phyllanthaceae","herb"
"Carica papaya","Carica papaya","Caricaceae","tree"
"Lavandula pubescens","Lavandula pubescens","Lamiaceae","herb"
"Helichrysum indicum","Helichrysum indicum","Asteraceae",""
"Scleria lacustris","Scleria lacustris","Cyperaceae","herb"
"Hoya carnosa","Hoya carnosa","Apocynaceae","liana"
"Vernonia arborea","Vernonia arborea","Asteraceae","tree"
"Neanotis indica","Neanotis indica","Rubiaceae",""
"Acosmium panamense","Acosmium panamense","Fabaceae","tree"
"Grevillea robusta","Grevillea robusta","Proteaceae","tree"
"Dioscorea cayenensis","Dioscorea cayenensis subsp. cayenensis","Dioscoreaceae","vine"
"Anacardium occidentale","Anacardium occidentale","Anacardiaceae","tree"
"Psychotria rubescens","Psychotria rubescens","Rubiaceae","shrub"
"Schinus terebinthifolius","Schinus terebinthifolius","Anacardiaceae","tree"
"Operculina macrocarpa","Operculina macrocarpa","Convolvulaceae",""
"Lepidium armoracia","Lepidium armoracia","Brassicaceae","herb"
"Ixora finlaysoniana","Ixora finlaysoniana","Rubiaceae","tree"
"Rinorea sprucei","Rinorea sprucei","Violaceae","shrub"
"Albizia lebbeck","Albizia lebbeck","Fabaceae","tree"
"Libidibia paraguariensis","Libidibia paraguariensis","Fabaceae",""
"Ananas comosus","Ananas comosus","Bromeliaceae","herb"
"Commelina diffusa","Commelina diffusa subsp. scandens","Commelinaceae","herb"
"Clitoria ternatea","Clitoria ternatea","Fabaceae","climber"
"Oryza sativa","Oryza sativa","Poaceae","herb"
"Caladium bicolor","Caladium bicolor","Araceae","herb"
"Ophiuros exaltatus","Ophiuros exaltatus","Poaceae","herb"
"Tithonia diversifolia","Tithonia diversifolia","Asteraceae","herb"
"Gmelina arborea","Gmelina arborea","Lamiaceae","tree"
"Begonia cucullata","Begonia cucullata","Begoniaceae",""
"Begonia coccinea","Begonia coccinea","Begoniaceae","herb"
"Bauhinia purpurea","Bauhinia purpurea","Fabaceae","tree"
"Blechnum capense","Blechnum capense","Aspleniaceae",""
"Lens culinaris","Lens culinaris","Fabaceae","herb"
"Camellia sinensis","Camellia sinensis","Theaceae","shrub"
"Solanum americanum","Solanum americanum","Solanaceae","shrub"
"Asplenium thunbergii","Asplenium thunbergii","Aspleniaceae",""
"Asplenium auritum","Asplenium auritum","Aspleniaceae","epiphyte"
"Cucumis melo","Cucumis melo","Cucurbitaceae","herb"
"Ophioglossum vulgatum","Ophioglossum vulgatum","Ophioglossaceae","herb"
"Nephrolepis cordifolia","Nephrolepis cordifolia","Polypodiaceae","herb"
"Dysphania ambrosioides","Dysphania ambrosioides","Amaranthaceae","herb"
"Rumex palustris","Rumex palustris","Polygonaceae","herb"
"Asplenium obscurum","Asplenium obscurum","Aspleniaceae","herb"
"Ophioglossum nudicaule","Ophioglossum nudicaule","Ophioglossaceae",""
"Verbena brasiliensis","Verbena brasiliensis","Verbenaceae","herb"
"Nicandra physalodes","Nicandra physalodes","Solanaceae","herb"
"Callistemon viminalis","Callistemon viminalis","Myrtaceae","tree"
"Malvaviscus arboreus","Malvaviscus arboreus","Malvaceae","shrub"
"Euphorbia leucocephala","Euphorbia leucocephala","Euphorbiaceae","shrub"
"Croton hirtus","Croton hirtus","Euphorbiaceae","herb"
"Pteridium caudatum","Pteridium caudatum","Dennstaedtiaceae",""
"Salvinia natans","Salvinia natans","Salviniaceae",""
"Cinchona pubescens","Cinchona pubescens","Rubiaceae","tree"
"Eleocharis minuta","Eleocharis minuta","Cyperaceae","herb"
"Oldenlandia tenelliflora","Oldenlandia tenelliflora","Rubiaceae","herb"
"Bidens arenicola","Bidens arenicola","Asteraceae","herb"
"Polypodium polypodioides","Polypodium polypodioides","Polypodiaceae",""
"Watsonia borbonica","Watsonia borbonica subsp. borbonica","Iridaceae",""
"Cascabela thevetia","Cascabela thevetia","Apocynaceae","shrub"
"Ranunculus sceleratus","Ranunculus sceleratus","Ranunculaceae","herb"
"Crepis foetida","Crepis foetida","Asteraceae","herb"
"Paspalum distichum","Paspalum distichum","Poaceae","herb"
"Allamanda cathartica","Allamanda cathartica","Apocynaceae","shrub"
"Spergularia rubra","Spergularia rubra","Caryophyllaceae","herb"
"Pouteria campechiana","Pouteria campechiana","Sapotaceae","tree"
"Cassia fistula","Cassia fistula","Fabaceae","tree"
"Astragalus pelecinus","Astragalus pelecinus subsp. leiocarpus","Fabaceae","herb"
"Delilia biflora","Delilia biflora","Asteraceae","herb"
"Lupinus pubescens","Lupinus pubescens","Fabaceae","herb"
"Pterocarpus indicus","Pterocarpus indicus","Fabaceae","tree"
"Cucumis melo","Cucumis melo subsp. melo","Cucurbitaceae","herb"
"Delonix regia","Delonix regia","Fabaceae","tree"
"Uragoga lubutuensis","Uragoga lubutuensis","Rubiaceae",""
"Wissadula hernandioides","Wissadula hernandioides","Malvaceae","shrub"
"Eichhornia diversifolia","Eichhornia diversifolia","Pontederiaceae","herb"
"Acanthospermum australe","Acanthospermum australe","Asteraceae","herb"
"Vigna campestris","Vigna campestris","Fabaceae",""
"Isoglossa dichotoma","Isoglossa dichotoma","Acanthaceae","herb"
"Prosopis juliflora","Prosopis juliflora","Fabaceae","tree"
"Trapa natans","Trapa natans var. bispinosa","Lythraceae",""
"Canthium angustifolium","Canthium angustifolium","Rubiaceae",""
"Pachira aquatica","Pachira aquatica","Malvaceae","tree"
"Albizia chinensis","Albizia chinensis","Fabaceae","tree"
"Chrysophyllum imperiale","Chrysophyllum imperiale","Sapotaceae",""
"Terminalia chebula","Terminalia chebula","Combretaceae","tree"
"Gossypium arboreum","Gossypium arboreum","Malvaceae","shrub"
"Phalaris paradoxa","Phalaris paradoxa","Poaceae","herb"
"Donella roxburghii","Donella roxburghii","Sapotaceae",""
"Manilkara zapota","Manilkara zapota","Sapotaceae","tree"
"Salvinia molesta","Salvinia molesta","Salviniaceae","herb"
"Artocarpus integrifolia","Artocarpus integrifolia","Moraceae",""
"Turbina corymbosa","Turbina corymbosa","Convolvulaceae",""
"Acacia mangium","Acacia mangium","Fabaceae","tree"
"Durio zibethinus","Durio zibethinus","Malvaceae","tree"
"Morinda sarmentosa","Morinda sarmentosa","Rubiaceae",""
"Dioscorea cayenensis","Dioscorea cayenensis","Dioscoreaceae","vine"
"Sesbania sesban","Sesbania sesban","Fabaceae","shrub"
"Payena leerii","Payena leerii","Sapotaceae","tree"
"Palaquium gutta","Palaquium gutta","Sapotaceae","tree"
"Manilkara bidentata","Manilkara bidentata subsp. bidentata","Sapotaceae","tree"
"Cananga odorata","Cananga odorata","Annonaceae","tree"
"Tridax procumbens","Tridax procumbens","Asteraceae","herb"
