"Species","Group","Stat","P_value","IndVal_diff","Count_Group_1","Count_Group_2","Count_Group_3","Count_Group_4","Count_Group_5","Count_Group_6","Perc_Group_1","Perc_Group_2","Perc_Group_3","Perc_Group_4","Perc_Group_5","Perc_Group_6","Total_Occurrences","Max_Percentage"
"Dactylorhiza viridis","1",0.682523196438846,0.001,0.66545564858341,456,4,0,0,0,0,99.1,0.9,0,0,0,0,460,99.1
"Goodyera repens","1",0.661751464590023,0.001,0.619358531590964,445,10,0,0,0,0,97.8,2.2,0,0,0,0,455,97.8
"Corallorhiza trifida","1",0.647993277710591,0.001,0.647993277710591,401,0,0,0,0,0,100,0,0,0,0,0,401,100
"Neottia cordata","1",0.635758194343882,0.001,0.635758194343882,386,0,0,0,0,0,100,0,0,0,0,0,386,100
"Gymnadenia conopsea","1",0.565129832647942,0.001,0.565129832647942,305,0,0,0,0,0,100,0,0,0,0,0,305,100
"Epipactis helleborine","1",0.558213334558982,0.001,0.509697341247749,328,10,0,0,1,1,96.5,2.9,0,0,0.3,0.3,340,96.5
"Dactylorhiza maculata","1",0.537592071744082,0.002,0.537592071744082,276,0,0,0,0,0,100,0,0,0,0,0,276,100
"Dactylorhiza incarnata","1",0.530438817870744,0.002,0.514061780172595,277,3,0,0,0,0,98.9,1.1,0,0,0,0,280,98.9
"Cypripedium calceolus","1",0.526770263962161,0.001,0.526770263962161,265,0,0,0,0,0,100,0,0,0,0,0,265,100
"Platanthera bifolia","1",0.522959468099321,0.002,0.517312404643477,264,1,0,0,0,0,99.6,0.4,0,0,0,0,265,99.6
"Spiranthes romanzoffiana","1",0.519762864213113,0.001,0.515726650720484,260,0,0,0,1,0,99.6,0,0,0,0.4,0,261,99.6
"Platanthera hyperborea","1",0.510620195735728,0.001,0.510620195735728,249,0,0,0,0,0,100,0,0,0,0,0,249,100
"Platanthera dilatata","1",0.503391638151903,0.001,0.503391638151903,242,0,0,0,0,0,100,0,0,0,0,0,242,100
"Malaxis monophyllos","1",0.494442570174593,0.001,0.42555575041567,266,13,0,0,0,0,95.3,4.7,0,0,0,0,279,95.3
"Neottia ovata","1",0.493942362621008,0.002,0.493942362621008,233,0,0,0,0,0,100,0,0,0,0,0,233,100
"Platanthera obtusata","1",0.482141818331799,0.005,0.482141818331799,222,0,0,0,0,0,100,0,0,0,0,0,222,100
"Calypso bulbosa","1",0.475581760027868,0.001,0.475581760027868,216,0,0,0,0,0,100,0,0,0,0,0,216,100
"Platanthera aquilonis","1",0.463313809273881,0.003,0.463313809273881,205,0,0,0,0,0,100,0,0,0,0,0,205,100
"Epipactis palustris","1",0.438942088512896,0.007,0.438942088512896,184,0,0,0,0,0,100,0,0,0,0,0,184,100
"Cypripedium parviflorum","1",0.437747686058093,0.006,0.437747686058093,183,0,0,0,0,0,100,0,0,0,0,0,183,100
"Neottia nidus-avis","1",0.432937125889917,0.007,0.432937125889917,179,0,0,0,0,0,100,0,0,0,0,0,179,100
"Herminium monorchis","1",0.43261207362106,0.005,0.400495738864522,192,5,0,0,0,0,97.5,2.5,0,0,0,0,197,97.5
"Dactylorhiza majalis","1",0.430511688733448,0.007,0.430511688733448,177,0,0,0,0,0,100,0,0,0,0,0,177,100
"Platanthera chlorantha","1",0.421463540696071,0.009,0.370874672653369,190,8,0,0,0,0,96,4,0,0,0,0,198,96
"Liparis loeselii","1",0.415668377355536,0.007,0.410642952935355,167,0,0,0,1,0,99.4,0,0,0,0.6,0,168,99.4
"Orchis mascula","1",0.406749340722281,0.003,0.406749340722281,158,0,0,0,0,0,100,0,0,0,0,0,158,100
"Cephalanthera longifolia","1",0.406020764198556,0.007,0.365877567255105,173,6,0,0,0,0,96.6,3.4,0,0,0,0,179,96.6
"Epipogium aphyllum","1",0.404425084982825,0.007,0.397174057926436,159,1,0,0,0,0,99.4,0.6,0,0,0,0,160,99.4
"Epipactis atrorubens","1",0.40416677911515,0.006,0.40416677911515,156,0,0,0,0,0,100,0,0,0,0,0,156,100
"Hammarbya paludosa","1",0.398951505405007,0.005,0.398951505405007,152,0,0,0,0,0,100,0,0,0,0,0,152,100
"Corallorhiza maculata","1",0.393958431883335,0.014,0.29885471538976,184,0,0,0,22,0,89.3,0,0,0,10.7,0,206,89.3
"Platanthera huronensis","1",0.39366714619019,0.004,0.39366714619019,148,0,0,0,0,0,100,0,0,0,0,0,148,100
"Cypripedium guttatum","1",0.3903360787779,0.004,0.375597679836202,151,2,0,0,0,0,98.7,1.3,0,0,0,0,153,98.7
"Orchis militaris","1",0.388310881014344,0.005,0.388310881014344,144,0,0,0,0,0,100,0,0,0,0,0,144,100
"Anacamptis morio","1",0.380134999442365,0.018,0.380134999442365,138,0,0,0,0,0,100,0,0,0,0,0,138,100
"Spiranthes lacera","1",0.367645591148376,0.023,0.356483387344574,133,0,0,0,2,0,98.5,0,0,0,1.5,0,135,98.5
"Cephalanthera rubra","1",0.36610300956502,0.019,0.36610300956502,128,0,0,0,0,0,100,0,0,0,0,0,128,100
"Anacamptis pyramidalis","1",0.36467011557532,0.016,0.36467011557532,127,0,0,0,0,0,100,0,0,0,0,0,127,100
"Galearis rotundifolia","1",0.357419488975457,0.02,0.357419488975457,122,0,0,0,0,0,100,0,0,0,0,0,122,100
"Pseudorchis albida","1",0.354477714760435,0.012,0.354477714760435,120,0,0,0,0,0,100,0,0,0,0,0,120,100
"Platanthera orbiculata","1",0.347014190152995,0.015,0.347014190152995,115,0,0,0,0,0,100,0,0,0,0,0,115,100
"Spiranthes cernua","1",0.345856493957716,0.013,0.32839914978596,120,0,0,0,3,0,97.6,0,0,0,2.4,0,123,97.6
"Platanthera clavellata","1",0.345502138558781,0.009,0.345502138558781,114,0,0,0,0,0,100,0,0,0,0,0,114,100
"Anacamptis coriophora","1",0.342458007514782,0.012,0.342458007514782,112,0,0,0,0,0,100,0,0,0,0,0,112,100
"Hemipilia cucullata","1",0.337286544789233,0.024,0.277191647350106,128,8,0,0,0,0,94.1,5.9,0,0,0,0,136,94.1
"Neotinea ustulata","1",0.333158767553708,0.016,0.333158767553708,106,0,0,0,0,0,100,0,0,0,0,0,106,100
"Pogonia ophioglossoides","1",0.331757638171916,0.014,0.292676776638158,121,5,0,0,2,0,94.5,3.9,0,0,1.6,0,128,94.5
"Cypripedium acaule","1",0.330000793272091,0.01,0.330000793272091,104,0,0,0,0,0,100,0,0,0,0,0,104,100
"Goodyera oblongifolia","1",0.327235898415844,0.015,0.30888316861862,108,0,0,0,3,0,97.3,0,0,0,2.7,0,111,97.3
"Neottia convallarioides","1",0.323592400845287,0.01,0.323592400845287,100,0,0,0,0,0,100,0,0,0,0,0,100,100
"Calopogon tuberosus","1",0.322112795889133,0.01,0.286638909276703,110,0,0,0,6,0,94.8,0,0,0,5.2,0,116,94.8
"Spiranthes spiralis","1",0.318701554166703,0.011,0.318701554166703,97,0,0,0,0,0,100,0,0,0,0,0,97,100
"Ophrys apifera","1",0.3153988582582,0.03,0.3153988582582,95,0,0,0,0,0,100,0,0,0,0,0,95,100
"Platanthera flava","1",0.312061210266319,0.041,0.312061210266319,93,0,0,0,0,0,100,0,0,0,0,0,93,100
"Cypripedium passerinum","1",0.310378927335654,0.052,0.310378927335654,92,0,0,0,0,0,100,0,0,0,0,0,92,100
"Cypripedium macranthos","1",0.309728857753461,0.035,0.291523530216637,97,2,0,0,0,0,98,2,0,0,0,0,99,98
"Platanthera lacera","1",0.309082689110094,0.052,0.299709111209168,94,1,0,0,0,0,98.9,1.1,0,0,0,0,95,98.9
"Platanthera stricta","1",0.305276460405133,0.068,0.305276460405133,89,0,0,0,0,0,100,0,0,0,0,0,89,100
"Ophrys sphegodes","1",0.300087247348071,0.066,0.300087247348071,86,0,0,0,0,0,100,0,0,0,0,0,86,100
"Ophrys insectifera","1",0.298337452563526,0.064,0.298337452563526,85,0,0,0,0,0,100,0,0,0,0,0,85,100
"Platanthera psycodes","1",0.298337452563526,0.065,0.298337452563526,85,0,0,0,0,0,100,0,0,0,0,0,85,100
"Cephalanthera damasonium","1",0.297000186853957,0.071,0.287268322779655,87,1,0,0,0,0,98.9,1.1,0,0,0,0,88,98.9
"Arethusa bulbosa","1",0.287615217067883,0.049,0.287615217067883,79,0,0,0,0,0,100,0,0,0,0,0,79,100
"Dactylorhiza sambucina","1",0.287615217067883,0.057,0.287615217067883,79,0,0,0,0,0,100,0,0,0,0,0,79,100
"Orchis purpurea","1",0.287615217067883,0.05,0.287615217067883,79,0,0,0,0,0,100,0,0,0,0,0,79,100
"Malaxis unifolia","1",0.280941331576909,0.042,0.125801975710728,117,0,0,0,32,0,78.5,0,0,0,21.5,0,149,78.5
"Limodorum abortivum","1",0.280239239603615,0.049,0.280239239603615,75,0,0,0,0,0,100,0,0,0,0,0,75,100
"Neottia borealis","1",0.280239239603615,0.039,0.280239239603615,75,0,0,0,0,0,100,0,0,0,0,0,75,100
"Ophrys scolopax","1",0.280239239603615,0.031,0.280239239603615,75,0,0,0,0,0,100,0,0,0,0,0,75,100
