K,n_clusters,pc_distance
K_2,2,0.11555426664816346
K_3,3,0.6008776419360651
K_4,4,0.6045828585628087
K_5,5,0.7425336549848004
K_6,6,0.8070199887513921
K_7,7,0.8082332298459745
K_8,8,0.8083507948305791
K_9,9,0.8084661836165149
K_10,10,0.8085804944348607
K_11,11,0.8086938477700651
K_12,12,0.8088076307817154
K_13,13,0.8089803236642734
K_14,14,0.8424736882049056
K_15,15,0.8454238238460839
K_16,16,0.851539255635433
K_17,17,0.8516354916078354
K_18,18,0.8517299488427542
K_19,19,0.8529658170879791
K_20,20,0.8531526013483282
K_22_1,22,0.8556736508709689
K_22_2,22,0.8556736508709689
K_22_3,22,0.8556736508709689
K_24,24,0.873465144681554
K_25,25,0.876132219319141
K_26,26,0.8817595048078158
K_27,27,0.8818530348794313
K_28,28,0.881949728619707
K_29,29,0.8820127089294642
K_30,30,0.882067825276461
K_31,31,0.8820978204966927
K_32,32,0.8821310983087056
K_33,33,0.8821339769210841
K_34,34,0.8821633946408005
K_35,35,0.8822481430059479
K_36,36,0.8843556662954194
K_37,37,0.8843834501719808
K_38,38,0.8844642722880318
K_39,39,0.8873103442909243
K_40_1,40,0.8925760371400606
K_40_2,40,0.8925760371400606
K_40_3,40,0.8925760371400606
K_40_4,40,0.8925760371400606
K_40_5,40,0.8925760371400606
K_40_6,40,0.8925760371400606
K_46,46,0.952110037304975
K_47,47,0.9521482336305142
K_48,48,0.95231735100249
K_49,49,0.9525961445323685
K_50,50,0.952627549353422
K_51,51,0.9526548249540575
K_52,52,0.9526823621447679
K_53,53,0.9527619941110195
K_54,54,0.9528882418545376
K_55,55,0.9639858843098265
K_56,56,0.9642176879354093
K_57,57,0.9642185704684774
K_58,58,0.9642867699307933
K_59,59,0.96437801102874
K_60,60,0.9643946168682469
K_61,61,0.9644068226347043
K_62,62,0.96448058028325645
K_63,63,0.9644875176470942
K_64,64,0.9650404051429242
K_65,65,0.9651075273529321
K_66,66,0.9651579803057884
K_67,67,0.9677734007534584
K_68,68,0.9678048266172752
K_69,69,0.968330223333411
K_70,70,0.9683539054620459
K_71,71,0.9685133433241967
K_72,72,0.9685223172721514
K_73,73,0.9695776052971684
K_74,74,0.969578723940377
K_75,75,0.9695795627346812
K_76,76,0.9697847908225549
K_77,77,0.9699346673624215
K_78,78,0.9700778595434639
K_79,79,0.9705469904944171
K_80,80,0.97180983117961794
K_81,81,0.9718714606422966
K_82,82,0.9720167808713946
K_83,83,0.9720353557633916
K_84,84,0.972046280242448
K_85,85,0.9721232602002498
K_86,86,0.9721456223608204
K_87,87,0.972514027626011
K_88,88,0.972514571894885
K_89,89,0.9725151144532617
K_90,90,0.9725368002418628
K_91,91,0.9725822280749112
K_92,92,0.9726430049645318
K_93,93,0.9726484005606012
K_94,94,0.9726492088464136
K_95,95,0.9726524393908542
K_96,96,0.9729551563764556
K_97,97,0.9729675092529921
K_98,98,0.9729782345358234
K_99,99,0.9729894700235625
K_100,100,0.973032896672119
