Bioregion,Species,affinity,fidelity,indval
1,Dactylorhiza viridis,0.473629783,0.995652174,0.471570523
1,Goodyera repens,0.465356774,0.989010989,0.460242963
1,Corallorhiza trifida,0.414684592,1,0.414684592
1,Neottia cordata,0.399172699,1,0.399172699
1,Epipactis helleborine,0.345398139,0.982352941,0.339302877
1,Gymnadenia conopsea,0.31540848,1,0.31540848
1,Dactylorhiza incarnata,0.289555326,1,0.289555326
1,Dactylorhiza maculata,0.285418821,1,0.285418821
1,Cypripedium calceolus,0.274043433,1,0.274043433
1,Platanthera bifolia,0.273009307,0.996226415,0.271979083
1,Malaxis monophyllos,0.279214064,0.967741935,0.270207159
1,Spiranthes romanzoffiana,0.268872802,0.996168582,0.267842638
1,Platanthera hyperborea,0.257497415,1,0.257497415
1,Platanthera dilatata,0.250258532,1,0.250258532
1,Neottia ovata,0.240951396,1,0.240951396
1,Platanthera obtusata,0.229576008,1,0.229576008
1,Calypso bulbosa,0.223371251,1,0.223371251
1,Platanthera aquilonis,0.211995863,1,0.211995863
1,Herminium monorchis,0.202688728,0.994923858,0.201659851
1,Platanthera chlorantha,0.19958635,0.974747475,0.19454629
1,Epipactis palustris,0.190279214,1,0.190279214
1,Cypripedium parviflorum,0.189245088,1,0.189245088
1,Neottia nidus-avis,0.185108583,1,0.185108583
1,Dactylorhiza majalis,0.183040331,1,0.183040331
1,Cephalanthera longifolia,0.182006205,0.983240223,0.178955821
1,Liparis loeselii,0.172699069,0.994047619,0.171671099
1,Corallorhiza maculata,0.190279214,0.893203883,0.169958133
1,Epipogium aphyllum,0.165460186,1,0.165460186
1,Orchis mascula,0.163391934,1,0.163391934
1,Epipactis atrorubens,0.161323681,1,0.161323681
1,Cypripedium guttatum,0.158221303,1,0.158221303
1,Hammarbya paludosa,0.157187177,1,0.157187177
1,Platanthera huronensis,0.153050672,1,0.153050672
1,Orchis militaris,0.148914168,1,0.148914168
1,Anacamptis morio,0.142709411,1,0.142709411
1,Spiranthes lacera,0.13753878,0.985185185,0.135501168
1,Cephalanthera rubra,0.132368149,1,0.132368149
1,Anacamptis pyramidalis,0.131334023,1,0.131334023
1,Hemipilia cucullata,0.135470527,0.963235294,0.130489993
1,Galearis rotundifolia,0.126163392,1,0.126163392
1,Pseudorchis albida,0.12409514,1,0.12409514
1,Spiranthes cernua,0.12409514,0.975609756,0.121068429
1,Platanthera orbiculata,0.118924509,1,0.118924509
1,Pogonia ophioglossoides,0.125129266,0.9453125,0.118286259
1,Platanthera clavellata,0.117890383,1,0.117890383
1,Anacamptis coriophora,0.11582213,1,0.11582213
1,Neotinea ustulata,0.109617373,1,0.109617373
1,Goodyera oblongifolia,0.111685626,0.972972973,0.108667095
1,Calopogon tuberosus,0.113753878,0.948275862,0.107870057
1,Cypripedium acaule,0.107549121,1,0.107549121
1,Neottia convallarioides,0.103412616,1,0.103412616
1,Spiranthes spiralis,0.100310238,1,0.100310238
1,Cypripedium macranthos,0.100310238,0.97979798,0.098283768
1,Ophrys apifera,0.098241986,1,0.098241986
1,Platanthera lacera,0.097207859,0.989473684,0.096184619
1,Platanthera flava,0.096173733,1,0.096173733
1,Cypripedium passerinum,0.095139607,1,0.095139607
1,Malaxis unifolia,0.120992761,0.785234899,0.095007739
1,Platanthera stricta,0.092037229,1,0.092037229
1,Cephalanthera damasonium,0.091003102,1,0.091003102
1,Ophrys sphegodes,0.08893485,1,0.08893485
1,Ophrys insectifera,0.087900724,1,0.087900724
1,Platanthera psycodes,0.087900724,1,0.087900724
1,Corallorhiza striata,0.099276112,0.872727273,0.08664097
1,Arethusa bulbosa,0.081695967,1,0.081695967
1,Dactylorhiza sambucina,0.081695967,1,0.081695967
1,Orchis purpurea,0.081695967,1,0.081695967
1,Limodorum abortivum,0.077559462,1,0.077559462
1,Neottia borealis,0.077559462,1,0.077559462
1,Ophrys scolopax,0.077559462,1,0.077559462
1,Platanthera unalascensis,0.077559462,1,0.077559462
1,Goodyera pubescens,0.077559462,0.986842105,0.076538943
1,Cypripedium reginae,0.076525336,1,0.076525336
1,Anacamptis palustris,0.074457084,1,0.074457084
1,Anacamptis laxiflora,0.072388831,1,0.072388831
1,Orchis anthropophora,0.071354705,1,0.071354705
1,Corallorhiza wisteriana,0.080661841,0.876404494,0.0706924
1,Platanthera blephariglottis,0.070320579,1,0.070320579
1,Spiranthes sinensis,0.131334023,0.529166667,0.069497587
