"","K","n_clusters","pc_distance"
"K_2","K_2",2,0.115554266648163
"K_3","K_3",3,0.600877641936065
"K_4","K_4",4,0.604582858562809
"K_5","K_5",5,0.747658365076357
"K_6","K_6",6,0.81214469884296
"K_7","K_7",7,0.81227299641745
"K_8","K_8",8,0.813486237512032
"K_9","K_9",9,0.813611073031757
"K_10","K_10",10,0.813735086335213
"K_11","K_11",11,0.813858379398122
"K_12","K_12",12,0.813972162409773
"K_13","K_13",13,0.816817367192705
"K_14","K_14",14,0.816990060075262
"K_15","K_15",15,0.823105491864588
"K_16","K_16",16,0.82998020632303
"K_17","K_17",17,0.830116115564863
"K_18","K_18",18,0.872407969492877
"K_19","K_19",19,0.872474467386455
"K_20","K_20",20,0.872540365847272
"K_21_1","K_21_1",21,0.872639902889258
"K_21_2","K_21_2",21,0.872639902889258
"K_21_3","K_21_3",21,0.872639902889258
"K_24","K_24",24,0.878007024414797
"K_25","K_25",25,0.880674099052381
"K_26","K_26",26,0.880738612694854
"K_27","K_27",27,0.880832142766471
"K_28","K_28",28,0.880863647797855
"K_29","K_29",29,0.890518173311131
"K_30","K_30",30,0.890995011461213
"K_31","K_31",31,0.891019627712121
"K_32","K_32",32,0.8937720890412
"K_33","K_33",33,0.893819455081313
"K_34","K_34",34,0.893822333693691
"K_35","K_35",35,0.893909186525424
"K_36","K_36",36,0.893932987710519
"K_37","K_37",37,0.894013809826572
"K_38","K_38",38,0.894051058846213
"K_39","K_39",39,0.894061689246452
"K_40","K_40",40,0.899038381517754
"K_41","K_41",41,0.899076577843293
"K_42","K_42",42,0.899283394060864
"K_43","K_43",43,0.899409166255722
"K_44","K_44",44,0.899508320355605
"K_45","K_45",45,0.899521001623229
"K_46","K_46",46,0.910618644078506
"K_47","K_47",47,0.911221107671863
"K_48","K_48",48,0.911278825429702
"K_49","K_49",49,0.91127970796277
"K_50","K_50",50,0.911347907425086
"K_51","K_51",51,0.911371406204426
"K_52_1","K_52_1",52,0.911462647302373
"K_52_2","K_52_2",52,0.911462647302373
"K_54","K_54",54,0.936958313438169
"K_55","K_55",55,0.936974919277676
"K_56","K_56",56,0.937566950665675
"K_57","K_57",57,0.937579156432133
"K_58","K_58",58,0.93758609379597
"K_59","K_59",59,0.938138981291798
"K_60","K_60",60,0.938157124436357
"K_61","K_61",61,0.940834378936577
"K_62","K_62",62,0.940878972264343
"K_63","K_63",63,0.94091039812816
"K_64","K_64",64,0.940962282344185
"K_65","K_65",65,0.941487679060322
"K_66","K_66",66,0.941511361188957
"K_67","K_67",67,0.941613907579272
"K_68","K_68",68,0.941896813347095
"K_69","K_69",69,0.94190578729505
"K_70","K_70",70,0.941906905938258
"K_71","K_71",71,0.941907744732562
"K_72","K_72",72,0.942050936913604
"K_73","K_73",73,0.942520067864555
"K_74","K_74",74,0.942668069887884
"K_75","K_75",75,0.944566755453762
"K_76","K_76",76,0.944629758410462
"K_77","K_77",77,0.944691387873141
"K_78","K_78",78,0.944709962765138
"K_79","K_79",79,0.944720887244194
"K_80","K_80",80,0.944797867201997
"K_81","K_81",81,0.944837175131857
"K_82","K_82",82,0.944859537292427
"K_83","K_83",83,0.944860081561301
"K_84","K_84",84,0.945003721437859
"K_85","K_85",85,0.945368737930828
"K_86","K_86",86,0.945369280489204
"K_87","K_87",87,0.945374676085273
"K_88","K_88",88,0.94541960183759
"K_89","K_89",89,0.945431954714127
"K_90","K_90",90,0.945442679996958
"K_91","K_91",91,0.945453915484697
"K_92","K_92",92,0.945455519524699
"K_93","K_93",93,0.94546753917998
"K_94","K_94",94,0.945481918391909
"K_96_1","K_96_1",96,0.94551913266771
"K_96_2","K_96_2",96,0.94551913266771
"K_97","K_97",97,0.945633946782219
"K_98","K_98",98,0.945672031273982
"K_99","K_99",99,0.945721452825423
"K_100","K_100",100,0.945835610382121
