"Context","Variable","Estimate","StdError","CI_low","CI_high","p_value","Signif","R2_percent","row_id"
"Australian","Average climate",0.0495556650055331,0.00287694708964155,0.0439169523244171,0.0551943776866672,6.5906827266061e-65,"***",44.7442743829408,1
"Australian","Climate variability",0.0536430737057168,0.00274156712030231,0.048269700888717,0.0590164465227204,1.20668995139821e-82,"***",54.5565507558284,2
"Australian","Topographical heterogeneity",0.0102409020708838,0.00634633554885006,-0.00219768703867272,0.0226794911804738,0.106652297111345," ",0.699174861230729,3
"The remaining groups","Average climate",0.0459670561692434,0.000256206057044563,0.0454649015257922,0.0464692108112394,0,"***",65.5952669392683,4
"The remaining groups","Climate variability",0.0246533479560366,0.000216781659799818,0.0242284637104749,0.0250782322014314,0,"***",33.8648528535498,5
"The remaining groups","Topographical heterogeneity",-0.00206267678907466,0.000189924661283106,-0.00243492228481165,-0.00169043129566057,1.78699351879196e-27,"***",0.539880207181946,6
"Australian vs. The remaining groups","Average climate",0.000450575058512937,0.0002323687805991,-4.85938221423082e-06,0.000906009499545237,0.0524962877553154,".",0.751326912014328,7
"Australian vs. The remaining groups","Climate variability",-0.0108110998590405,0.000207844654701465,-0.0112184678966003,-0.0104037318213219,0,"***",37.5788375597996,8
"Australian vs. The remaining groups","Topographical heterogeneity",0.00116726861135747,0.000213608759799893,0.000748603135404791,0.00158593408718754,4.64654654391334e-08,"***",0.451496057779977,9
"Australian vs. The remaining groups","Landmass discontinuity",0.0269278444664235,0.000410967029731407,0.0261223638895366,0.0277333250435484,0,"***",61.2183394704061,10
"Andean","Average climate",0.00330425075218413,0.00987565608472634,-0.0160516794975833,0.0226601810019516,0.739643491372725," ",31.5313463299811,11
"Andean","Climate variability",-0.00219625059555082,0.0145609236575959,-0.0307351365460761,0.0263426353549745,0.880848045232768," ",3.96548286989077,12
"Andean","Topographical heterogeneity",0.00667496786530045,0.01498803899024,-0.0227010487544521,0.036050984485053,0.658407357432491," ",64.5031708001281,13
"Neotropical - Afrotropical","Average climate",0.0301266763415602,0.000450244200721765,0.02924421392409,0.0310091387593974,0,"***",49.8818296075469,14
"Neotropical - Afrotropical","Climate variability",0.02224152420218,0.000418328940238066,0.0214216145455022,0.0230614338590242,0,"***",32.6773900922622,15
"Neotropical - Afrotropical","Topographical heterogeneity",0.0150231758027989,0.000444913019485745,0.014151162308082,0.015895189297473,4.55193150111808e-249,"***",17.440780300191,16
